stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.05,90.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,63.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.9,0,7.91,0,0,15.35,0,0,0,0,0,0,0,0,0,0,0,0,0,50.63,7.84,0,0,34.75,0,0,8.64,0,0,0,0,0,0,0,0,0
 10-12,0,14.71,0,0,0,40.81,0,0,0,0,0,0,0,0,0,0,0,0,0,102.48,12.41,0,0,90.52,0,0,0,0,10.39,0,0,0,0,0,0,0
 14-21,0,0,0,2.91,1.93,5.77,0,0,0,0,0,0,0,0,0,0,11.71,0,3.65,14.03,1.98,0,0.94,0,0,0,0.99,7.37,0,4.06,1.02,11.42,0,2.95,0,0
 24-34,0,0,1.86,1.27,1.27,0,0,0.64,0,0,0,0,0,1.36,0.76,0,18.97,0,2.51,27.33,0,0,13.04,0,0,0,0,0,0,0,1.93,7.3,0,6.93,0,0.78
 36-46,0,0,0,0,0.61,1.98,1.53,7.86,0.86,0,0.56,0,0,0,0,7.12,8.96,0,6.51,55.2,0,0,10.05,0,0,0,0,0,1.34,0.57,0,15.8,0,4.76,0,0
 48-58,0,0,0,0.64,0.38,3.67,0,0.83,3.83,0,0,0,0,2,1.73,1.2,8.45,0,0.64,19.05,0,0,16.26,0,0,2.09,0,0,0,0,0,5.25,0,2.43,0,3.62
 60-70,0,0,0,0.76,1.77,22.17,0,2.17,1.55,0,0,0,0,12.51,0,0,8.86,0,1.6,30.19,0,1.19,36.44,0,0,0,0,0,0,0,0,7.19,0,1.81,0,2.5
 72-82,0,0,0,0.53,7.28,16.19,0,1.82,0.55,0,0,0.53,0,35.79,0,0.49,18.33,0,0.56,42.44,1.8,0,44.43,0,0,0,0,0,1.23,0,0,1.98,0,4.66,0,0
 84-94,0,0,0,0,13.17,5.76,0,1.26,6.83,1.22,0,3.04,1.29,21.09,0,0,19.72,0,2.06,12.92,0,0,56.46,0,3.66,0,0,0,0,0,0,0,2.36,7.11,0,0.77
 96-106,0,0,0,1.75,10.44,0.74,0,0.76,2.32,0,0,0,0,33.1,3.93,0.62,11.76,0,0,7.91,0,2.12,85.44,0,0,0,0,0,0,0,0,0,0,16.13,1.92,3.3
108-118,0,0,0,2.19,4.71,16.1,0.46,0.57,3.83,0,1.28,0,1.23,24.4,0,11.27,16.13,2.61,0.7,38.57,0,0,88.5,0,0,0,0,0,0,0,0,0,1.89,16.97,2.27,3.15
120,0,0,0,8.71,10.15,0,0,0,3.91,0,0,0,0,22.09,0,1.51,4.8,0,0,32.25,0,0,53.78,0,2.76,0,0,0,0,0,0,7.12,0,9.93,0,0
