stage,eye,glial,mesenchyme,neural,otic,paraxial_mesoderm,spinal_cord
  7-9,0,0,0,9.87,0,0,0
 10-12,7.32,0,0,0,0,8.86,0
 24-34,0,0,0,3.14,0,0,0.72
 36-46,1,0,0,9.65,0,0,1.01
 48-58,0,0,1.08,5.75,0,0,0
 60-70,0,0,0,5.83,0,0,1.4
 72-82,1.41,1.33,0,4.77,0,0,0
 84-94,0,0,0,0,1.2,0,2.85
 96-106,0,1.25,1.5,6.24,0,0,0
108-118,0,0,3.15,3.61,0,0,0
120,0,0,0,10.06,0,0,0
