stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vasculature
  3-4,0,19.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.68,107.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.37,0,9.87,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.57,0,0,0,0,0,0,0,0,3.18,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,2,0,0,0,1.12,1.69,0,0
 24-34,0,0,0,1.61,1.22,0,0,0,0,2.57,0,0,0,0,0,6.38,0,0,0.73,0,1.28,0,3.25
 36-46,0,0,0,0.63,0,0,0.62,0,0,0.79,0,0,1.76,0,0,4.97,1.31,0,0,0,0,0,0.89
 48-58,0,0,0,0,0,0,0,0,0,2.13,0,0,0,0,3.36,3.89,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.61,0,3.98,0,0,1.99,0,0,0.64,0,0,9.65,0,0,0,0,1.52,0,0
 72-82,0,0,0,0,0.52,0,0,0,0,1.36,0,0,0,0,0,10.46,0,0,0,0,0,1.64,0
 84-94,0,0,1.14,1.2,0,0,2.53,0,1.19,1.45,0.59,0,2.17,0,0,15.23,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0.8,0,0.58,0,0,0,0,6.13,3.81,0,0,0,0,1.82,0,0,0,0
108-118,0,0,0,0.46,6.69,0,1.39,0.78,0.79,1.69,0,0,1.35,0,0,11.6,0,0,0,0,4.29,0.52,0.85
120,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,23.69,0,0,0,0,0,0,0
