stage,axial,blastomeres,hatching_gland,neural,paraxial_mesoderm,periderm
  3-4,22.1,13.86,0,0,0,35.07
  5-6,0,102.15,0,0,0,0
  7-9,0,0,0,28.32,4.73,0
 10-12,0,0,3.85,0,3.38,0
108-118,0,0,0,6.94,0,0
