stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,96.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.02,22.57,0,12.57,0,0,0,71.19,0,0,0,0,17.31,0,0,0,0,0,0,0,0,0,0,452.78,14.7,0,0,153.43,0,15.17,0,0,0,0,0,0,0,0,0
 10-12,0,14.54,0,13.16,0,5.97,0,142.9,0,0,0,0,9.92,0,0,0,0,0,0,0,0,0,0,568.97,32.71,0,0,111.67,0,7.53,0,20.79,0,0,0,0,0,0,0
 14-21,0,0,1.24,0,144.31,3.3,0,4.57,0,0,0,0,0,1.13,0,16.09,0,0,0,0,3.46,1.3,2.16,20.98,0,0.85,0,1.3,0,729.81,3.62,0,0,12.75,9.12,0,0,0,0
 24-34,0,0,0.6,1.96,410.91,4.33,0,14.33,30.02,0,2.15,2.92,6.16,0,0.6,25.61,0,3.09,0,0,12.63,17.62,6.84,193.88,10.1,9.85,3.68,0,0,1241.7,0,0,0,1.54,19.56,0,0,6.52,0
 36-46,0,0,0,0.84,299.25,0,0,0.94,57.93,1.81,0.91,0,0,0,6.97,20.75,0,9.69,0,1.99,16.04,6.81,2.3,164.79,1.55,7.57,1.39,0,0,405.04,0,0,0.65,0,9.38,0,0,1.06,0
 48-58,0,0,0,0,209.11,0,0,8.45,43.53,0,2.21,1.03,1.42,0,0,28.5,0,18.38,0,0,18.11,26.67,6.85,95.79,0,2.94,0,0,0,100.4,0,0,0,0,3.62,0,0,6.76,0
 60-70,0,0,0.7,0,149.3,0,0,9.59,56.44,0,0.89,0.64,5.25,0,0,13.68,0,4.39,0,0,27.93,10.87,0.89,82.63,0,3.07,0.59,0,0,107.15,0,0,0,0,0.61,3.4,0,0,0
 72-82,0,0,1.79,0,61.12,1.07,0,11.27,7.82,1.14,10.84,3.99,0,0,1.61,13.55,4.71,8.56,3.49,0,55.27,15.81,2.73,82.22,0,6.4,3.88,0,0,59.92,0,0,0,0,1.27,9.69,0,0,1.53
 84-94,0,0,1.16,0,133.45,6.17,0,9.82,18.28,0,16.11,8.1,1.59,0,0,27.54,0,20.75,6.31,0,83.86,18.16,2.59,63.75,0,5.24,2.19,0,0,174.93,0,0,0,0,0,15.75,2.12,2.61,0.75
 96-106,0,0,0,0,148.3,9.08,0.97,15.92,24.89,0,17,35.19,0,0,0.56,34.53,0,13.9,4.29,0,58.66,21.51,1.08,53.23,0,10.16,6.67,0,1.03,178.71,0,0,0,0,0,30.24,0,1.56,0
108-118,0,0,0,0,211.79,1.92,0,7.7,22.53,0,10.04,29.87,0,0,4.06,29.57,0,15.08,0,0.75,101.46,17.99,5.78,52.59,0,9.28,11.45,0,0,128.64,0,0,0,0,10.96,40.83,1.94,0.71,1.61
120,0,0,0,0,314.55,11.34,0,1.29,6.88,0,9.12,20.58,0,0,0,21.51,0,12.17,13.18,0,166,6.1,0,61.34,0,12.18,14.27,0,0,180.06,0,0,0,0,0,13.79,0,0,1.05
