stage,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,immune,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,23.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.04,9.45,0,0,0,0,0,0,0,0,0,0,17.32,7.02,0,4.17,0,0,0,0,0
 10-12,0,5.62,0,0,0,0,0,0,0,0,0,3.87,25.85,0,0,47.17,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.58,0,0,0,0,0.84,3.12,0,0
 24-34,0,0,0,0.65,0,0,0,0,0,3,0,1.04,16.87,0,0,0,0,0,15.2,0,0
 36-46,0,0,0,0.78,0,0,0,0,0,3.49,0,0.66,47.04,0,0,0,0,0,10.22,0.81,0
 48-58,0,0,0,1.47,0.38,1.2,0,0,0,0.72,0,0,37.13,0,0,0,0,0,3.86,0,0
 60-70,0,0,0,25,0.84,1.48,1.21,0,0,0,2.09,0,51.03,0,0.84,0,4.92,0,5.71,0,0
 72-82,0,0,0,7.68,0,0,0,0,0,0,0,0,26.22,0,1.05,0,0,0,2.65,1.55,0
 84-94,0,0,2.39,26.62,0,8.14,0,0,0,2.39,0,0,33.52,0,0,0,0,0,0,1.09,2.23
 96-106,0,0,0,1.67,0,0,0,0,0,0,0,0,16.37,0,0,0,0,0,0,0,0
108-118,0,0,0.92,10.3,0,1.94,0,0,0.63,1.64,0,0,20.64,0,0,0,0,0,7.71,0,0
120,0,0,1.31,0,0,0,0,2.37,1.91,0,0,0,44.18,0,0,0,0,0,7.24,0,0
