stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,gut,hatching_gland,lateral_line,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,slow_muscle,spinal_cord,taste,vasculature
  3-4,112.2,706.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.36,0,0,0,0,0
  5-6,32.73,337.55,0,0,0,0,0,0,0,0,0,8.55,0,0,0,6.91,6.94,0,0,0,0,0
  7-9,24.83,0,4.74,0,0,5.66,0,0,7.87,0,0,71.52,0,0,0,15.26,0,5.11,0,0,0,0
 10-12,0,0,0,0,0,5.86,0,0,0,0,0,6.25,3.16,0,0,4.59,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.88,0,0,0,0,0.83,0.92,0,0.83,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.7,0,0.85,0,0,0,0,0,5.89,0,0,1.38,0,0,0,0,2.07,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0.84,0,0
 48-58,0,0,0,0,0,0.43,0,0,0,0,0,0.8,0,1.26,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,9.88,0,0,0,0,0,0,1.49,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0
 84-94,0,0,0,0,0,0,0,0.66,0,0,0,1.22,0,0,0,0,0,0,0.61,0,0,0
 96-106,0,0,0,0.6,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0
108-118,0,0,0,0,0.56,0,0,0,0,0.43,0.99,0,0,0,0,0,0,0,1.03,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,11.17,0,1.29,2.11,0,0,0,0,0,1.81,2.77
