stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,11.1,77.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.41,344.09,0,0,0,0,0,0,0,0,0,0,0,12.16,0,0,0,0,0,0,0,0,0
  7-9,4.99,11.86,19.84,0,5.98,3.38,0,0,0,0,0,0,0,110.95,0,0,0,43.88,0,0,0,0,0
 10-12,0,0,0,0,0,21.6,0,0,0,0,0,0,0,83.77,9.79,0,0,42.1,0,0,0,0,0
 14-21,0,0,0,5.09,2.86,7.27,0,0,0,0,0,3.58,3.65,69.96,0,0,0,0,8.95,1.62,8.7,0,0
 24-34,0,0,0,0,0,7,0,0,0,0,0,4.33,0,56.12,0,0,1.23,0,0,1.38,9.82,0,0.74
 36-46,0,0,0,0,0,8.41,0,0,0,0,0,6.93,1.14,29.96,0,1.88,0,0,0,0,6.4,0,0
 48-58,0,0,0,3.89,0,20.87,0,3.35,0,0,0,5.96,0,29.75,0,0,0,0,0,0,5.18,0,0
 60-70,0,0,0,1.74,0,4.27,1.06,1.93,0,0,0,9.99,0,5.29,0.66,0,0,0,0,0,2.11,0,0
 72-82,0,0,0,0,0,3.42,0,1.65,0.93,0,0,0.6,0.55,3.43,0,0,2.66,0,0,0,0,1.73,0
 84-94,0,0,0,0.68,0,1.48,0,0.57,0,0,0,3.92,0,9.88,0,0,0,0,0,0,0,0,1.18
 96-106,0,0,0,0,0,2.21,0,0,0,0.86,0,3.96,0,5.53,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.65,0,1.26,0,1.78,0,0,0,2.37,1.43,1.27,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,4.68,0,0,0,0,2.88,18.1,0,7.96,0,0,0,0,0,0,0,0,3.03
