stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,569.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.67,0,0,0,0,0,0,0
  5-6,27.89,1414.4,0,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.33,0,0,0,8.57,0,0,0,0,0,0,0,0,0
  7-9,9.92,6.26,0,0,0,0,11.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311.62,0,0,0,71.3,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,51.78,0,11.1,39.68,0,0,0,0,17.32,0,0,0,0,0,0,0,0,0,0,0,388.14,4.75,0,0,100.8,0,0,0,11.19,0,0,0,0,0
 14-21,0,0,0,1.82,11.57,2.73,4.43,0,0,2.12,0.81,0,0,0,0,0,0,0,0,6.67,0,0,5.53,128.97,3.77,2.46,2.36,2.98,0,1.98,12.62,0.97,11.43,46.11,0,1.65,0
 24-34,0,0,0,0.71,3.1,0,26.25,0,0,4.23,0,0,1.84,0,0,0,0,0,0.8,20.71,0,0,6.18,231.19,2.21,0,0.73,0,0,5.21,0,0,1.97,45.79,0,10.39,0
 36-46,0,0,0,0,1.33,0,21.64,0,0,15.71,1.58,0,0,0,0,0,0,0,0,8.2,0,0,2.18,135.85,1.14,0.75,0,0,0,1.12,0,0,0,21.22,0,1.06,0
 48-58,0,0,0.42,0,4.56,0,34.52,0.58,0.42,12.32,0,0,0.65,0,0,0,1.38,0,0,26.83,0.81,0,5.2,94.68,4.28,1.55,1.14,0,0,3.36,0,0,0,24.78,0.49,3.07,0
 60-70,0,0,0,0,0,0,26.41,0,0,10.09,0,0,0,0,0,0,0,0,0,19.63,0,0,1.06,22.26,0.83,0,0,0,0,0,0,0,0,6.48,0,2.79,0
 72-82,0,0,0,0,0.67,0,6.02,0,0,10.57,1.01,0,0,0,0,1.62,0,0,0,27.1,0,0.55,1.85,39.84,0,0,1.04,0,0,0,0,0,0,0.65,0.85,1.08,1.27
 84-94,0,0,0,0,0.56,0,15.2,0,1.27,7.38,0.68,0,0,0,0.64,0,0,0,0,20.62,0,2.36,4.31,26.23,0.99,0,0,0,0,3.88,0,0.6,0,1.73,0,3.78,0
 96-106,0,0,0,0,7.48,2.02,6.37,0,0,8.63,1.36,0,0.99,2.81,1.78,0,1.54,7.43,0,19.04,0,0,1.02,7.3,0,0.57,0.94,0,4.17,5.09,0,0,0,7.78,0.77,6.28,2.56
108-118,0,0,0,0,3.27,0,14.52,0,1.62,17.58,0.67,0,0,0.53,0,0,0,2.49,0,16.56,6.07,0,4.64,58.56,0.41,0,0,0,0,0,0,0,0,5.19,0,7.47,2.55
120,0,0,0,0,0,0,5.51,0,0,2.76,0,0,0,0,0,0,0,0,0,23.08,0,0,2.52,10.89,0,0,0,0,0,3.87,0,0,0,3.5,0,0,0
