stage,epidermis,eye,glial,lateral_line,mesenchyme,muscle,neural,otic,periderm,spinal_cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,9.32,0,0,0,0,0
 10-12,0,9.93,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.01,0,0,0,1.1,0,0,0,0,0
 24-34,0,0,0,0,0,0,12.11,0,0,5.68,0,0
 36-46,0.84,0,1.16,0,0.69,0.65,6.87,0,0,3.27,0,0
 48-58,0,1.39,0.53,0,0,0,14.02,0,0,2.55,1.23,0
 60-70,0,4.63,0,0,1.68,0,14.82,0,0,2.33,0,0
 72-82,0,9.99,2.47,1.06,0,0,13.45,1.64,0,4.61,0,0
 84-94,0,2.89,0,0,0,0,0.56,2.5,0.95,2.44,3.71,0
 96-106,0,9.16,0,0,0.91,0,0.99,0,0.63,0,0,0
108-118,0,16.96,0.83,0,1.07,0,27.28,0.84,0,8.14,0,0.51
120,0,11.74,0,0,0,0,15.29,0,0,0,0,0
