stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,2.28,0,0,0,0,0,0,0,0,0,0,7.54,0,0,0,0,0,0,0.89,1.9,0,0,0,0,0
 24-34,0,0,3.17,1.61,0,4.67,0,7.24,0,1.42,0,0,0,0,0,0,0,0,0,5.9,0,1.39,63.24,0,0.73,0,0,2.4,0.94,0.65,13.19,0,0,0.76,0,0
 36-46,1.4,0,0,0.57,0,13.07,0,8.17,0,0,0,0,0,0,0,0,0,0,7.53,12.85,0.92,0,77.23,0,0,0.61,0,0,0,0,12.76,0,0,0,0,0
 48-58,0,0,0.87,0,0,34.34,0,11.08,0,5.26,0,0,0,0,0,0,0,0,6.71,4.89,0,0,58.44,0,0,5.91,0,0,0,0,8.74,0,0,11.21,0,0.99
 60-70,0,0,2.23,0,0,899.68,0,4.09,1.37,1.25,7.57,0,0,0,9.98,0,0,0,0.71,10.56,5.65,0,18.12,0,0,0,0,0,0,0,15.61,0,0,0,8.14,10.29
 72-82,2.88,0,11.97,0.51,0,4882.62,0,6.7,3.21,53.38,71.05,0,0.53,0.99,0.84,0,0,0,0,57.22,1.43,0,153.64,0,0,0.51,1.67,0,0,0,2.51,0,0,0.69,7.9,0.5
 84-94,2.56,0,9.79,0,0,3581.17,0,12.18,0,85.5,6.55,0,0,0,0,0.95,0,6.31,12,69.35,0.9,4.96,92.37,0,0,0,0,15.38,0,0,10.03,0,0,1.84,0,0
 96-106,0.99,0,14.47,9.38,0,4441.43,0,12.29,0,72.27,3.33,0,1.16,4.86,0,0,2.46,5.3,7.05,58.3,2.11,8.48,95.53,0,7.85,4.57,1.51,0,0,0,4.31,4.97,1.26,9.64,0,2.25
108-118,0,0.49,72.49,6.24,0.45,4002.64,1.3,9.34,1.75,30.73,78.23,0,5.31,3.95,4.38,1.35,0,3.15,0.54,65.86,0,3.27,148.57,1.01,3.06,0.44,0,7.08,0,0,2.32,0,0.75,0,1.96,4.67
120,0,0,163.19,5.87,0,1962.91,0,7.27,0,51.32,20.72,0,0,1.89,0,0,0,0,0,86.7,0,3.46,89.45,10.25,0,2.45,0,1.2,0,0,0,0,0,0,0,0
