stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,4.77,0,0,0,0,0,0,0,0,15.28,0,0,0,14.41,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.99,0.85,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,11.25,0,0,0,0,0,0,7.65,0,0,0.94,2.83,0,0,0,0,0
 24-34,0,0,1.61,0,2.53,0,0,0,0,0,0,0,0,0,0,3.96,4.37,0,0.99,181.5,0,5.17,0,0,0,0,0,0,0,0.75,21.22,0,0,0,0,0
 36-46,0,0,0,0,10.21,2.56,0,0.56,0,0,0,2.84,0,0,0,2.87,2.44,0,0,429.17,0,3.27,0,0,0,0,0,0,0,0,26.73,0,0,0,0,0
 48-58,0,0,0.67,0,35.34,0,0,0,5.52,0,0.37,0.38,0,7.23,0,13.29,3.82,2.76,6.28,732.44,0,1.77,2.22,0,0,0,0,6.13,0,0,56.62,0,0,1.66,0,1.47
 60-70,0,0,10.1,0,129.28,0,0,0,0,0,0,0,0,0,0,39.23,0.67,3.53,2.69,1362.98,0,4.12,5.6,0,0,11.37,0,0,1.01,0,35.65,0.77,2.29,0,0,3.74
 72-82,0,0,7.46,9.99,325.46,0,0,1.41,10.59,0,0,0,0,0,0,62.13,9.09,3.78,0.68,1400.01,0,2.94,10.7,0,0,2.39,0,0,0,0,40.01,0,13.74,0,0.96,9.26
 84-94,0,0,11.93,0,301.59,0,0,0,13.77,2.25,0,0,1.41,0,0,36.64,6.88,0,3.06,1002.44,0,0,13.94,0,5.06,1.89,0,0,0,0,55.09,0,14.84,0.84,1.01,0
 96-106,0.91,0,3.41,3.5,288.5,0,0.96,5.42,18.8,1.92,0,2.28,0,0,10.54,68.25,1.74,1.02,1.48,894.06,0,2.1,22.32,0,3.05,9.93,0,0,0,0,14.32,0,7.74,0,1.61,3.34
108-118,0.43,1.8,8.29,0,299.55,0,0,1.16,35.36,0.54,0,1.81,0,0,0,52.39,2.81,4.04,1.62,955.99,0.69,2.3,29.3,0,4.22,1.17,0,1.48,0,0,20.3,0,16.13,1.85,0.66,0
120,0,0,2.48,1.44,237.73,5.8,1.49,0,19.85,2.96,0,0,0,2.51,0,53.77,0,0,1.64,1743.98,0,0,25.94,0,0,1.01,0,0,0,0,17.15,0,0,0,6.37,0
