stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,0,22.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0
 24-34,0,0,0,0,48.08,0,0,0,0,0,0,0,0,0,3.77,0,0,0,0,0,0,0,0,0,0,1.49
 36-46,0,0,0,0,62.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,321.14,0,0,0,0,0.44,0,0,0,0,30.65,0,0,0,0,0,0,2.46,0,0,7.78,0
 60-70,2.52,0,0,0,1162.08,1.19,1.4,0,0.65,0,0.72,4.67,0,0.68,37.15,1.31,0.71,0,0,0,0,0.81,0,0,0.87,2.09
 72-82,0,0,0.5,2.5,1122.52,0,6.25,0,5.65,0.66,0,7.3,0,0.84,25.46,0,0.5,0,0,0,0,5.08,0,0,0,0
 84-94,0,0,2.14,0,1183.92,0,1.82,0,0.97,0,0.76,2.16,1.03,0,7.14,0,0,0.85,0,0.69,0,1.64,0,1.08,1.22,0
 96-106,0,0,0.7,15.3,992.55,0,0,0,0,0,2.35,0,0,1.1,13.5,0,1,4.6,0,0,0,0,2.44,0,0,0
108-118,0,0,1.48,0,755.57,0,4.1,0,0,0,5.18,2.73,0,0.68,15.29,0.84,0,0.81,2.63,0,0,0,0,0,0,0
120,0,0,1.03,0,830.84,0,2.04,2.62,0,0,1.62,1.76,0,1.66,69.93,0,3.85,3.8,0,0,0,0,0,0,0,0
