stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.17,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.25,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.44,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,67.77,0,9.14,1.83,0,0,0.82,24.05,0,0,5.65,0,0
 24-34,0,2.37,0,4.52,0,0,2.43,0,0,0,0,0,0,0,0.63,0,0,0,0,0.95,0,0,0.97,1199.23,0,410.33,2.55,0,1.5,0,193.29,0,0,74.43,0,0
 36-46,0,0,0,0,0.91,0,18.69,1.39,0,10.41,0,1.26,0,0,0,0,0,0,0,8.65,0,0,0.56,1565.69,0,451.44,13.25,0,6.98,0,277.29,0,0,21.23,0,0
 48-58,0,0,0,0.85,1.85,0,131.1,6.33,0,18.52,0,0,0,2.48,0,0,0,0.41,0,24.63,0.49,0,0.74,1565.85,0,360.35,16.01,0.39,5.79,0.51,297.96,0,0,6.97,0,0.63
 60-70,0,0,0,2.64,0.76,0,654.62,0,1.61,53.7,4.11,0,0.76,1.9,0,0,0,0,0,12.72,0,0,0,1666.47,0,401.85,15.53,0,0,0.85,255.75,7.71,1,3.68,0,5.55
 72-82,0,3.51,0,12.49,1.45,0,716.63,0,6.7,76.65,0,0,0.91,0,0.53,0,0,0,0,35.38,0,0,0,1621.54,0,512.65,19.41,0,1.34,0,193.31,12.45,0,17.25,0,0.5
 84-94,0,0,1.04,4.92,0,0,626.14,0,0,43.46,0.96,0,0,2.15,0,2.34,0,0,0,38.87,0,5.48,2.41,1196.61,0,534.34,23.03,0,17.12,0,134.38,13.55,0.57,21.96,0.82,2.4
 96-106,0,0,0,17.81,0,0,872.46,0.57,1.95,69.31,0.71,0,0,2.35,0,0,5.03,14.14,0,36.52,2.14,0,0.78,923.68,0,744.96,7.24,0,9.54,0,89.33,25.14,0.77,12.44,1.37,9.09
108-118,0,0.57,0,4.95,0.99,0.44,563.59,0,0,50.32,4.34,0,0,1.07,0.47,0,0,0,1.43,34.49,0,0,4.75,1107.87,1.49,537.21,9.64,0,2.76,0,29.06,28.11,0,8.75,1.93,2.31
120,0,0,0,36.1,0,0,477.37,0,0,67.23,4.01,0,0,0,3.61,6.33,0,0,0,44.87,0,18.54,0,1744.68,0,688.13,15.4,0,11.94,2.39,70.46,3.34,0,15.47,0,0
