stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,iridophores,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  3-4,0,456.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,86.81,469.23,10.26,0,0,0,0,0,0,0,0,0,0,0,40.5,0,0,0,41.09,0,0,0
  7-9,7.42,0,0,0,3.63,0,0,0,4.72,0,0,0,0,0,63.49,0,0,3.89,0,0,0,0
 10-12,0,0,0,0,4.98,0,0,0,0,0,0,0,0,0,26.09,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12,0,0,0,2.85,4.13,0,0
 24-34,0,0,0,0,1.74,0,0,0,0,1.02,0,0,0,0,11.14,2.53,0,0,0,7.88,0,0
 36-46,0,0,0,0,1.37,0,0,0,0,0,0,2.45,0,0,42.9,0.86,0,0,2.65,4.9,0.88,2.23
 48-58,0,0,0,0,10.32,0,1.27,0,0.57,0,0,2.1,0.43,0.63,84.47,2.36,0,0,0,19.51,1.33,5.46
 60-70,0,0,0,0,15.34,0,0,1.46,0,0,0,9.62,0.88,0,67.38,6.93,0,0,3.48,14.85,0,0
 72-82,0,0,0,0,39.88,0,0,7.08,0,0,0,0,2.18,0,80.16,1.85,3.62,0,1.16,12.01,0.9,18.44
 84-94,0,0,0,0.66,8.98,7.53,0,2.33,0,0,0,0,0,0,33.77,0,0,0,2.03,9.26,0,0
 96-106,0,0,0,2.49,18.7,0,0,3.98,0,0,0,0,0.68,0,24.39,1.13,0,0,2,3.79,0,2.21
108-118,0,0,0,1.2,8.07,0,0,0.47,0,0,3.18,0,0.96,0,30.42,1.16,0.89,0,4.32,4.32,0,0
120,0,0,0,0,24.17,0,0,0,0,2.35,0,0,0,0,9.37,0,0,0,2.73,10.64,0,0
