stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.26,0,0,10.61,0,0,7.62,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.87,0,0,0,0,0,0,0,0,0,0,24.66,0,0,17.16,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.33,0,0,0,0,0,0,1.32,0,0,3.36,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.08,15.25,2.44,0,0,0,0,0,0,0.71,32.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,10.36,0,3.05,0,0,0,0,0,0,0,4.51,0,0,0,444.56,19.54,0,0,0,0,0,0,0,0,77.14,0,0,0,0,0
 48-58,0,0,0,1.16,0,0,35.89,0,9.28,0,0,0,0,10.22,0,0,0,2.87,2.92,0.39,705.86,29.49,3.11,0,0,0,0,0,0,0,85.73,0,0,0,0,0
 60-70,0,0,0,1.46,0,0,125.39,0,41.91,0,0,0,0,0,0,0,0,2.7,0,0,1120.23,35.39,0,0,1.13,0.68,0,0,0,0,147.45,0,0,0,0,11.8
 72-82,0,0,0,4.18,0.59,0,145.54,0,38.4,0,0,4.17,0.93,0,0,0,0,15.13,0,2.13,1079.53,30.22,0,0,0,0.65,0,0,0,0,104.95,0,0.51,0,0,1.71
 84-94,0,0,0,3.72,0,0,148.15,0,28.54,0,0,0,0,0,0,0,0,3.83,0,0,895.67,26.2,0,0,0,0.77,0,0,0,0,118.85,0,0,0,0.77,0
 96-106,0,0.81,0,20.38,1.66,0,111.38,4.64,30.97,0,0.71,0,0,0.77,0,4.04,0,7.57,0,2.03,789.29,50.06,1.54,0,0,0,0,0,0.69,0,60.82,0.83,0,0,0.68,0
108-118,0,0,0,12.11,0,1.02,146.96,0,47.5,0,0.52,0,0,0,1.7,0.43,0,11.18,1.14,0.99,846.83,43.67,4.3,0,0,2.47,0,0,0,0,46.51,1.11,0,2.72,0,0
120,0,0,0,7.11,0,0,151.52,0,17.01,0,0,1.44,0,0,0,0,0,12.43,0,0,1156.36,43.66,0,0,0,0,0,0,0,0,69.35,0,0,1.59,0,0
