stage,axial,blastomeres,epidermis,eye,fin_mesenchyme,immune,melanocytes,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature
  3-4,0,134.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.1,155.64,0,0,0,0,0,0,7.6,0,0,0,13.13,0,0,0,0
  7-9,6.02,0,0,4.74,0,0,0,0,66.43,0,0,0,12.11,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,7.33,10.22,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2.95,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,8.74,0,5.91,0,0,4.07,0,0,0
 48-58,0,0,0,8,0,0,0,0,24.73,0,0,0,0,0,1.54,0,0
 60-70,0,0,0,10.83,0,0,0,0,11.47,0,0,0,0,0,0.85,0,0
 72-82,0,0,0,6.17,0,3.67,0,1.51,9.49,0,1.45,0,0,0,0,0,1.35
 84-94,0,0,0,9.72,0,13.79,0,0,22.36,0,0,0,0,0,2.13,0,0
 96-106,0,0,0.57,9.34,0,22.86,0.69,1.83,5.42,0,0,0,0,0.76,0,0,0
108-118,0,0,0,0,0,37.88,0.91,1.83,16.19,0,0,0,0,0,0,2.13,0
120,0,0,0,0,0,36.39,0,0,20.57,0,0,4.09,0,0,0,0,0
