stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,195.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.41,0,0,0,18.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.15,0,0,0,51.32,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,8.11,0,0,0,0,0,0,0,0,4.74,0,0,0,0,0,0,0,0,0,0,0,20.02,0,0,0,16.09,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.86,1.95,0,0,2,0,0,0,0,3,0,0,0,0,0,3.65,0,1.27,0,0,0.97,251.09,0,0,0,0,0,0,2,2.67,0.99,0.88,162.34,0,0,0,0,0
 24-34,0,0,0,4.21,0,0,8.61,0,0,1.15,0,0,0,0.8,2.06,0,0,0,0,2.74,0,0,2.29,966.47,0.67,9.19,0.63,0,0,2.71,0,29,0,0.61,564.57,0,0,3.33,0,0.63
 36-46,0,0,0,8.64,0,0,7.81,0.87,0,8.85,0.82,0,0,0,0,0,0,0,1.47,6.05,0,0,4.56,2227.57,0.56,2.61,0,0,0,7.73,0,40.52,0,0,914.51,0,0,0.56,0,0
 48-58,0,0,0,16.61,0,0,47.03,0,0,25.62,0.44,0,0.42,0,0,0,0,0,0,4.84,1.23,0,0,2049.89,0,16.48,2.05,0,0,10.59,0,32.99,0,0,690.37,0,0,1.99,0,6.97
 60-70,0,0,1.36,4.34,0,0,15.64,0.63,2.53,17.97,10.69,0,0,4.21,0,0,0,0.81,0,10.76,11.24,0.75,0,1257.39,0,25.71,0,0,0,2.17,0,21.8,0,0,90.92,4.87,0,1.46,0,0
 72-82,0,0,1.52,17.76,1.51,0,58.41,0.81,0,95.68,30.08,0,0,0,0,0.57,0,20.02,0,32.74,14.61,2.25,2.18,1858,0,38.01,0,0,0,4.86,0,18.47,1.06,0,45.93,32.13,0,2.05,0,0
 84-94,0,0,5.87,2.56,0,0,71.95,1.91,0,41.42,88.42,0,0,0,0,0,1.2,9.55,0,34.94,16.5,0,0.98,1506.89,0,42.54,0,0,0,5.61,0,41.58,0,0,47.69,82.11,0,4.31,0,0
 96-106,0,1.06,6.7,20,11.17,0,91.05,10.85,0,160.33,116.97,0,0,2.26,0.92,0,0,13.24,0,5.62,29.08,0,0,1734.72,0,59.67,0,0,0,3.01,0,34.32,0,0,0,74.39,2.94,0,0,0
108-118,0,0,7.6,12.08,2.51,2.22,50.21,0.72,0,164.75,52.4,0,0,0.54,1.62,0,0,17.43,0,16.84,1.66,0,0,1683.98,0,55.93,1.83,0,1.89,5.6,0,24.05,0,0,13.12,65.5,39.24,1.49,0.49,0
120,0,0,3.17,46.26,6.59,0,65.46,0,0,151.58,48.18,0,0,0,0,0,1.12,0,0,101.4,1.1,10.27,5.83,1803.47,0,32.51,0,0,0,6.38,0,14.93,0,0,0,29.5,3.67,0,0,0
