stage,axial,blastomeres,eye,neural,paraxial_mesoderm
  3-4,16.24,14.65,0,0,0
  5-6,0,0,0,7.41,0
  7-9,0,8.21,11.04,0,10.02
 10-12,0,0,0,0,4.02
