stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,3.52,5.86,0,0,0,0,0.87,0,1.25,0,0,0,0,0,0,0,0,0,0,0,2.26,53.25,3.37,2.53,0,29.41,0,0,0,75.86,0,0,6.46,52.51,0,0,0,0,1.43
 24-34,6.34,3.9,0,0,10.67,0,2.17,0,1.16,0,4.4,5.32,0,0,0,2.68,4.23,5.68,0,0,0,589.06,2.56,3.79,2.1,0,0,1.6,0,0,0,0,2.32,266.26,0,0,4.13,0,10.41
 36-46,1.72,0.56,0,0,18.79,0,0,0,12.74,0,2.78,14.42,0,0,0,0,0.61,4.55,0,1.42,5.18,1474.01,1.06,3.41,0,0,0,7.59,0,0,0,0,0,374.92,0,0,0,0,12.87
 48-58,1.05,9.35,1.97,0,274.23,1.63,0.66,2.61,51.7,0.98,0,10.47,4.34,2.34,0,0,0,12.34,0,0.45,3.67,1939.49,0,8.8,10.03,13.27,0,1.37,0,0,0,0,0,399.24,0,0,2.15,0,15.91
 60-70,1.63,9.1,0,0,901.27,0,0,0.59,63.37,1.46,0,21.77,0,0,0,7.26,0,22.6,0,0,12.3,2655.7,0,10.19,3.86,0,0,0,0,0,0,1.01,0,378.75,0,0,0,0,14.63
 72-82,4.43,6.4,3.38,0,1280.96,0,0.68,6.53,55.45,4.37,10.35,10.98,0,0,0,0.72,1.18,40.02,0,0,6.36,2251.56,0,2.5,8.32,0,0,0,0,0,0,0,0,156.53,0.87,1.5,1.29,7.77,14.52
 84-94,4.4,11.45,2.97,0,967.03,0,0,0.59,57.78,2.2,0.78,9.99,0.55,0,0,2.93,0,53.02,1.51,10.55,1.74,1640.96,1.53,7.15,8.77,0,0,4.75,0,0,0,0,0,180.1,0.61,3.98,9.22,2.11,0.69
 96-106,2.88,11.08,18.15,1.05,1164.67,0,0.62,0,44.29,3.97,1.53,20.3,0,0,0,12.54,0,37.61,0,0.8,2.35,1592.71,1.2,7.99,3.37,0,0,6.16,3.39,0,0.87,0.62,0,99.78,0,1.21,2.65,0,4.67
108-118,3.84,29.09,0,5.68,1200.38,0,0.89,4.55,67.36,5.65,0,21.82,0.97,0.95,1.39,0,0,36.97,0,0.66,7.63,2161.44,1.15,0.45,2.73,0,0,5.98,0,0,1.48,0.43,0,73.6,0.44,1,1.3,1.11,22.16
120,13.86,39.49,10.68,0,1088.59,3.35,0,0,154.97,16.99,0,20.65,0,0,1.07,0,4.02,81.35,2.91,0,5.21,4499.51,5.18,4.7,0,0,10.01,4.77,0,0,0,0,0,62.44,12.35,10.24,0,1.59,11.71
