stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,25.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,66.05,0,11,0,0,4.14,0,0,0,0,0,15.14,0,0,0,0,0,0,0,0,0,0,0,1130.23,84.38,0,0,3056.43,0,5.76,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,441.05,0,1214.21,0,0,13.07,0,0,0,0,0,5.94,0,0,0,0,0,0,0,0,0,0,0,4502.32,202.76,0,0,9103.19,0,7.59,6.03,8.55,1796.66,0,65.85,77.35,0,0,0,0,0
 14-21,1.77,8.03,1.24,24.75,1641.63,337.32,44,0,23.73,0,326.44,208.18,2.22,0,0,2.07,0,2.83,0,30.48,446.45,2.04,0,539.64,1086.52,255.15,1.79,3.27,505.09,0,13.96,0,1820.22,162.24,37.18,1812.93,5822.85,0,0,59.84,0,0
 24-34,0,0,0,13.32,60.27,31.91,73.87,1.93,37.23,22.2,684.89,25.37,1.15,0.92,0.6,1.55,3.2,33.5,0,33.99,665.53,0,0,808.36,1439.85,41.53,5.48,0,0,0,17.8,0,6.21,29.14,32.54,290.76,7967.9,0,0,340.3,0,1.4
 36-46,9.53,0,0,0,8.94,8.29,47.95,8.08,19.08,76.59,335.86,10.56,0,0.79,2.07,0,1.52,16.34,5.03,7.91,687.51,0,18.85,508.45,1545.05,25.68,13.72,0.81,0,1.55,11.01,0,16.54,5.21,6.56,2.17,10312,0,0,154.53,0,0
 48-58,0,0,0,0,14.8,9.91,221.73,2.97,15.85,47.54,346.54,6.97,0,6.9,4.86,0,6.01,13.68,7.53,13.12,640.16,0.74,25.73,299.59,1855.67,4.65,2.02,1.64,0,0,10.31,0,3.76,7.27,5.19,0,11101.01,0,0,79.44,0.9,22.92
 60-70,0,0,0,0,8.41,0.69,152.6,0.64,11.57,73.57,330.52,2.55,0,0,5.42,0,0.79,5.95,0,2.27,600.77,0,42.39,176.84,1003.08,7.68,0,2.21,0,0,13.97,0,0,3.83,7.69,0,8037.27,0,12.21,67.37,4.25,34.98
 72-82,0,0,0,0,16.65,17.82,129.33,2.87,5.23,63.01,447.11,5.47,0,0.55,1.77,0.89,1.13,12.56,15.55,0,367.71,0,24.78,179.86,787.42,7.79,0,0,0,2.52,7.39,0,0,10.91,1.69,0,2793.81,1.21,11.95,51.76,13.76,4.5
 84-94,0,0,8.72,0,10.6,0,186.32,3.16,4.63,30.26,364.1,13.41,0,0,3.46,9.04,8.46,1.42,0,1.54,348.22,0,34.88,141.46,580.62,4.9,0,0,0,4.73,2.91,0,0,12.5,4.68,0,2526.88,0,21.51,48.85,9.16,1.04
 96-106,0,0,0.63,0,4.65,1.15,65.15,1,5.4,58.49,288.47,4.77,0,2.94,0,0.77,2.24,10.47,1.98,3.94,268.14,0.71,28.87,134.77,611.22,5.63,0,3.15,0,0,2.79,0,0,8.06,6.02,0,551.38,0,12.03,73.76,30.17,8.28
108-118,0,0,2.36,0,10.29,4.86,51.89,5.64,9.42,31.34,282.34,3.81,0,1.02,3.2,0,19.56,0.6,0.63,6.47,258.23,0,30.52,114.76,508.91,4.63,0,0,0,9.11,5.21,0,0,11.63,1.77,0,488.55,0,2.81,51.48,8.6,16.05
120,0,0,0,0,3.28,0,27.75,15.47,2.35,11.55,341.79,0,0,0,3.81,0,1.01,4.79,0,0,311.7,0,56,75.67,253.06,11.52,0,0,0,0,2.4,4.99,0,3.84,1.32,0,267.49,0,1.52,22.58,22.99,0
