stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,35.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,45.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.07,0,0,0,15.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.07,0,0,13.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.34,0,0,0,4.65,0,0,11.92,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.78,1.47,5.35,0,0,1.15,0,0,0,0,0,0,0,0,4.14,0,0,2.08,36.89,3.17,1,0,1.69,0,1.33,0,3.56,0,2.37,15.5,0,0,1.82,0,0
 24-34,0,0,9.44,1.72,8.17,0,1.54,1.98,0,0,0.69,0.62,0,0,0,0,11.29,0,0,3.47,113.97,0,0.75,1.21,0,0,2.1,0,0,0,1.93,31.47,0,0,5.58,0,0.69
 36-46,0,0,0.67,0,12.54,0,0.62,7.53,0,2.9,0,0,0,0,0,0,18.83,0,0,4.48,268.35,0,0.59,1.66,0,0,0,0,0,4.45,0,49.89,0,0,3.74,0,0.7
 48-58,0,0,11.93,0,35.14,2.52,0.94,14.49,0,0.87,0,0,0,0,0,0,20.88,0,0.91,6.01,157.97,20.44,1.35,0.46,0,0.45,0,0,0,0,0,28.7,0,0,3.07,0,0
 60-70,0,0,9.07,0,24.62,0,0,9.32,0.95,0,0,0,0,0,0,0,21.55,0,0,0,104.98,0,1.64,0.59,0,0,0,0,0,0,0,11.84,0,0.67,10.64,0,0
 72-82,0,0,0,0,60.27,0.51,3.79,35.58,1.48,0,1.33,0,0,0,0,4.38,49.17,0,1.07,6.36,222.08,0,0.67,0.61,0,0,0,0,0,0,0,34.52,0.87,0,1.02,1.39,0
 84-94,0,0,5.72,0,26.67,0,0.75,19.93,0,2.41,0,0,3.25,1.32,0,6.32,26.06,0,1.06,0,127.03,3.42,0,0,0,1.65,0,0,0,0,0,9.41,6.07,0,11.87,0.92,0
 96-106,0,0,2.4,0,4.17,1.61,0,3.81,0,0,0,0,0.66,0,0,0,25.87,0,0,1.65,48.73,0,3.35,1.47,0,0,0,0,0,0,0,4.38,0,0,3.85,0,1.26
108-118,0,0,5.01,1.38,21.91,0.42,3.92,30.73,0,2.18,0,2.7,2.73,0,0,0,63,0,1.85,0.53,182.88,0,0,16.07,0,0,4.72,0,0,0,0,11.1,0,0.99,1.4,0,0
120,0,0,21.73,0,23.38,1.76,0,19.74,0,0,8.64,2.21,0,0,13.18,0,68.95,17.7,8.85,10.6,538.36,0,0,5.22,0,0,3.25,0,0,0,0,7.07,3.81,0,1.51,0,0
