stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,28.71,789.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.14,0,0,0,0,0,0,0,0,0,0
  5-6,25.88,500.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.58,0,0,0,0,0,6.16,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.77,35.67,0,0,13.32,0,0,0,0,0,5.61,0,0,0,0,0,0,0,0,0,335.12,20.91,0,0,40.36,0,0,10.05,0,0,0,0,0,0,0,0,0
 10-12,0,5.51,9.23,0,0,38.16,0,0,0,0,0,8.53,0,0,0,0,11.2,0,0,0,0,545.43,23.73,0,0,117.41,0,0,0,0,55.05,0,0,0,0,0,0,0
 14-21,0,0,0,5.64,7.83,5.39,0,0,0,13.81,0,1.29,0,0,0,0,0,0,7.93,0,6.61,102.61,3.19,2.41,9.68,2.2,0,0,0,4.97,19.84,4.94,83.67,0,0,0,0,0
 24-34,0,0,0,2.82,1.21,6.13,0,3.01,2.86,40.07,0.82,0,0,0,0.73,0,0,0,4.62,0.81,5.76,149.51,1.32,15.61,0.69,0,0,2.45,0,0.85,5.48,3.5,98.19,0,0,0,0,2.18
 36-46,0,0,0,0,0.92,20.96,0,0,0,33.24,0,0,0,0,0,0,0,0,10.83,0,1.52,140.64,0,11.58,0.69,0,0,2.76,0,0,2.79,0,99.77,0,0,0,0,0
 48-58,0,0,0,0.87,0,19.48,1.16,0.49,0,40.51,0,0,0,3.09,0.55,0.4,0,0.83,11.47,0,3.57,96.97,0,11.29,0.97,0,0,0,0,0,0,0,56.62,0,0,0,0,0
 60-70,0,0,0,2.11,0,53.53,0,1.86,0,33.24,0,0,0,0,0,0,0,0,19.73,0,4.95,71.24,0,6.74,9.48,0,0,2.54,0,0,0.85,0,11.85,0,0,2.13,0.59,0
 72-82,0,0,0,0,0,24.51,0,0,0,19.02,0.67,0,1.17,2.36,0.54,1.79,0,0,24.07,0,0.92,64.8,0.66,8.63,7.26,0,0,0.58,0,0,0,0,16.64,0,0,3.3,0.86,0
 84-94,0,0,1.63,2.88,23.57,16.16,0,1.21,1.02,15.34,0,0,0,2.51,0,3.27,0,0,18.71,0,7.15,28.81,0,11.87,8.63,0,3.32,6.27,0,0,0.7,0,21.06,1.15,3.88,2.04,0,0
 96-106,0,0,0,2.1,13,25.94,0,0,0,25.45,1.01,0,0,1.11,0.81,2.98,0,0,11.82,0,3.08,17.78,0,14.22,10.35,0,0,0.62,0,0,0,0,12.93,0,0,0,0.81,1.41
108-118,0,0,0,3.28,0.44,6.91,0.98,0.6,0,15.3,2.25,0,0,0.42,0,0.43,1.4,0,16.85,0,1.21,53.54,1.4,4.22,7.42,0,1.07,4.28,0,0,2.66,0,3.83,0,0,0,0,0
120,0,0,0,5,4.14,8.48,0,0,0,34.09,2.37,0,0,5.72,0,9.65,0,0,19.27,2.03,3.24,52.54,0,23.39,15.37,0,0,1.28,0,0,2.39,0,0,0,1.95,0,5.33,0
