stage,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,24.32,5.77,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,34.14,0,0,0,0,0,6.76,0,0,0
 14-21,4.37,1.3,0.81,0,1.71,0,0,9.98,9.32,1.7,0,0,0.81,0,1.57,0.94,1.74,0,0
 24-34,0.71,0,0,0,3.06,0,0.62,0,0.84,6.1,0,0,0,0,0,0,4.04,0.78,0
 36-46,0,0,0,0,0,0,0,0.6,0,4.62,0,0,0,0,0,0,0.57,0,0
 48-58,0,0,0.48,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0.9
 60-70,0,0,2.09,0,0,0,0,0.69,0,9.47,0,0.62,0,0,0,0,2.91,0,0
 72-82,0,0,0,0,0,0,0,0,0,7.35,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0.68,2.17,0,0,0,0,0,0,0,0,0
 96-106,0.69,0,0,0,0,0,0,1.08,0,4.62,0,0,0,0,0,0,2.71,0,0
108-118,0,0,6.72,0,0.86,0,0,0,0,2.69,0,0,0,0.65,0,0,0,0,0
120,0,0,0,0,0,3.72,0,0,0,14.39,0,0,0,0,0,0,0,0,0
