stage,endocrine_pancreas,epidermis,eye,fast_muscle,fin_mesenchyme,glial,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,2.93,0,0,0.9,1.19,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,27.83,0,0,0,7.79,0,0,0
 36-46,0,0,0,0,0,3.74,0,0,0,0,3.85,43.49,0,0,0,4.3,0,0,1.2
 48-58,0,0,7.53,0,0,2.18,0,0,3.43,0,0,40.22,0,5.12,0,6.12,0.55,0,0
 60-70,0,0,22.22,0,1.62,2.67,0,0,5.14,0,0,10.64,0,0,0,6.05,0.63,0,0
 72-82,0,0,19.14,0,0,3.16,0,0,3.93,0,1.13,20.01,1,0,0,9.36,0.59,0,0
 84-94,0.56,0,19.71,0,0,1.47,9.96,0,0.67,0,0,26.07,0,0,0,2.96,1.2,0,0
 96-106,0,0,0.82,0,0,4.27,0,9.55,10.05,1.42,0,25.15,0,0,0,0,0,0,0
108-118,0,1.4,26.89,0.42,0,0.94,0,0,6.11,1.34,0,20.39,0,0,0,0,0,2.65,0
120,0,0,6.51,0,0,0,0,0,26.64,0,0,22.78,0,0,0,0,0,0,0
