stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pronephros,somites,spinal_cord,taste,vasculature
  3-4,0,11.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,8.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.13,0,0,0,1.18,0,0,0,0,0,0,0,0,10.18,1.33,0,0,0,0.83,14.87,0,0
 24-34,0,0,0,0,0,0,2.43,0,2.56,0,0,0,0.63,0,1.42,0,0,32.91,0,1.51,1.55,0,0,13.14,0,0.76
 36-46,0,0,0,0,0,0,2.16,0.78,4.02,0,0,0,0,0,5.28,0,0,97.75,0,1.47,0,1.34,1.38,18.04,0,0
 48-58,0.58,0,0,0,0,0,12.27,0,3.42,0,0.6,0,0.39,0,1.95,0,0.51,77.37,0,0.76,0.79,0,0,6.33,0,0
 60-70,0,0,0,0,0,0,10.74,0,4.82,2.86,2.61,0,0,0,13.33,0,0,52.67,0,1.48,0,0,0,4.05,0,0
 72-82,0,0,0.62,0,0,0,40.2,0,7.6,1.49,1.13,0.64,2.09,0,6.97,0,0,63.58,0,0.87,0.49,0,0,0,0,0
 84-94,0,0,0,0,0,0,6.28,0,8.97,1.58,6.16,1.66,5.33,0,0,0,1.17,28.92,0,0,0,0,0,2.96,0.57,1.04
 96-106,0,0,0,0,1.3,7.15,36.21,0,21.69,0,7.68,0.99,3.37,0,0.83,1.06,0,15.46,0,2,0,0,0,9.19,0.85,0
108-118,0,0,0,1.06,8.22,0,22.82,0,20.92,0.5,16.03,0,1.26,0,0.79,0,0,30.49,0,0,2.92,0,0,2.42,8.87,0
120,0,0,0,0,8.26,0,47.37,0,23.26,2.23,84.35,0,2.12,5.02,0,0,0,49.19,0,0,6.6,0,0,0,1.94,0
