stage,erythrocytes,eye,glial,immune,mesenchyme,muscle,neural,periderm
 10-12,0,0,0,0,0,0,21.03,0
 24-34,0,0,0,0,0.64,0,0,0
 36-46,0,0,0,0,0,0,0.99,0
 48-58,0,0,0,0,0,0.51,0,0
 60-70,5.79,0,0,0,0,0,0,0
 72-82,0,0.96,1.97,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0.86
 96-106,0,0,0,1.84,0,0,0,2.62
108-118,5.48,0,0,0.8,1.13,0,0,3.08
