stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,250.91,3024.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.97,0,0,0,0,0,0,0,0,0,0,0
  5-6,241.98,4782.08,0,18.72,0,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,0,0,132.4,8.9,0,0,84.21,141.22,0,0,0,0,0,0,0,0,0,0,0
  7-9,77.37,204.86,0,93.17,0,0,0,703.55,0,0,0,0,0,82.74,0,0,0,0,0,0,0,0,0,0,0,4171.25,92.68,0,0,1099.93,4.34,13.84,0,12.75,0,0,0,0,0,0,0,0
 10-12,0,142.65,0,152.74,0,30.39,0,403.26,0,0,0,0,0,72.95,0,0,0,0,0,5.32,0,0,0,0,0,4312.25,22.37,0,0,1348.02,0,14.96,6.12,156.5,0,9.11,3.51,0,0,0,0,0
 14-21,0,0,0,11.08,269.99,49.25,0,182.54,0,0,0,12.94,1.42,22.33,1.1,0,38.58,0,0,260.4,15.37,76.36,0.95,0,50.09,1189.05,9.1,0.96,19.74,23.03,4.9,0,103.34,9.93,0,85.77,241.36,0,0,1.1,0,87.05
 24-34,0,0,0.65,6.85,219.05,1.88,0,122.44,0,0.94,0,6.18,1.74,0,0.76,0.62,179.11,18.62,1.32,188.93,44.49,80.97,19.78,0.91,41.03,726.02,7.49,2.38,7.17,0,19.62,0,1.03,1.33,1.16,5.99,81.45,0,0,7.68,0,384.73
 36-46,0,0,0,0.63,75.37,0.71,0,98.18,0,0.68,0.58,20.66,0.61,0,0,0,73.4,55.73,0,43.55,130.13,49.53,6.19,1.33,12.16,318.66,3.9,2.95,8.52,0,4.54,0.81,0,0.82,1.13,0,29.84,0,0,2.39,0,554.84
 48-58,0,0,0,0,38.49,0.42,0,101.4,0,0.5,2.17,18.21,4.47,0,0.94,0,10.77,99.57,0.42,21.06,65.36,41.31,0,1.49,11.32,178.59,0,5.54,2.91,0,13.86,0,0,0,0,0,16.02,0,0,1.47,0,836.87
 60-70,0,0,0.57,0,27.72,1.2,0,98.51,0,6.14,0.62,20.11,9.29,0,1.47,0,9.31,202.3,1,11.18,26.47,43.95,0,0,10.55,115.5,0,0,0,0,1.64,0,0,0,0,0,18.55,0,0.61,7.64,0,722.33
 72-82,0,0,0,0,4.61,1.31,1.8,63,0,4.14,3.06,12.44,7,0,0,0,4.92,142.45,0,17.14,9.44,68.03,1,3.95,8.6,87.6,5.25,0.74,0.66,0,5.98,0,0,1.23,0,0,6.92,0,0,10.87,0,457.38
 84-94,0,0,5.34,0,26.44,15.26,3.74,51.2,0,0.62,1.68,26.03,1.84,0,0,0.56,10.54,228.57,0,15.74,5.09,69.18,0.76,0.69,12.56,78.36,0,0.69,3.08,0,9.95,0,0,0,0,0,0.58,3.04,0,0.63,0,399.92
 96-106,1.12,0,0,1.03,14.17,12.7,0,52.67,0.57,0.68,0,27.86,5.03,0,2.23,7.9,17.07,156.24,1.75,8.13,0,43.4,0,1.11,8.15,84.69,0,2.6,2.33,0,11.16,0,0,0,0,0,0.58,0,0,0.61,1.36,321.19
108-118,0,0,3.26,0.74,34.63,7.23,9.05,43.87,0,0,5.6,35.83,3.39,0,0,3.1,18.46,274.84,2.33,24.3,3.65,59.42,0,0,19.09,98.87,0,2.08,2.31,0,18.29,0,0,1.83,0,0,0,7.22,0,5.1,0.84,263.64
120,0,0,7.01,0,78.75,6.83,9.18,71.83,0,8.68,5.91,33.12,5.64,0,0,9.79,16.27,206.45,0,13.38,0,68.45,11.34,0,31.97,126.92,2.06,0,2.55,0,18.68,0,0,0,0,0,0,0,0,3.69,2.7,96.01
