stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.27,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.28,97.16,0,0,9.78,0,0,0,0,0,11.15,0,0,0,0,0,0,0,0,0,0,0,297.38,8.74,0,0,14.74,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,21.68,213.16,0,0,182.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2636.32,0,0,0,43.83,3.1,0,0,12.23,0,0,0,0,0,0,0,0
 14-21,0,0,87.17,1382.56,1,140.85,0,0,0,39.09,14.72,0.91,2.61,1.62,13.09,0,0,12.94,0,19.08,0,0,16.48,1679.32,1.98,0.96,18.68,0,10.22,1.26,2.05,1.38,1.83,8.13,510.05,0,0,5.07,0,0
 24-34,0,0,15.78,164.29,1.53,92.95,0,0,0,18.6,1.47,0,25.61,8.7,0.65,0,1.25,21.17,0,15.01,1.56,2.43,5.96,635.87,2.57,1.36,0.9,1,3.59,0,0,0,1.37,2.1,233.14,0,0,3.82,0,0
 36-46,0,0,0.96,11.92,0,43.77,0,0,0,8.12,0,0,21.45,7.4,1.23,0,0,13.6,0,16.45,0.58,1.57,1.73,185.65,3.4,3.33,1.31,0,2.31,0,0,0,0,0,74.71,0,0,0.85,0,7.58
 48-58,0,0,0,7.75,0,55.3,0.7,0,0,5.81,0,0,4.19,3.81,3.61,0,0.67,7.89,0,10.68,0,2.28,0,88.24,10.08,0.95,0,0,8.3,0,0,0,0,0,24.8,0,0,2.35,0,1.17
 60-70,0,0,0,2.14,0,29.01,0,0,0,5.7,0,0,0,25.21,0,0,0,0,1.71,10.15,0,7.4,1.75,118.38,1.16,1.1,1.03,0,19.37,0,0,0,0,0,8.22,0,0,2.97,0,0
 72-82,0,0,0,2.41,0,44.38,0,0.63,5.44,4.51,0.77,0,0,20.75,3.86,3.4,0,0,0,12.61,0,1.92,0.81,99.49,0,8.75,2.14,0,28.11,0,0,3.98,0,0,4.07,0,0,2.06,0,0
 84-94,0,0,0,1.45,0,35.23,0.56,0,0,0,8.78,0,0,13.98,5.18,0,2.64,0,0,13.69,0.86,5.63,2.56,85.39,1.22,3.12,0.62,0,25.96,0,0,7.83,0,0,0.99,0.57,0,14.29,0,0
 96-106,0,0,0,5.58,1.27,50.78,0,0,0,8.45,3.74,0,6.11,21.99,0.74,0,1.6,0,0,19.36,0,2.49,0.57,60.32,0,6.29,2.27,0,33.44,0,0,6.42,0,0,0,0,2.94,6.22,1.26,0
108-118,0,0,0,6.98,0,29.9,0,0,0,11.21,5.57,0,1.63,18.07,3.57,1.75,0,0,0,27.87,0,0,0,66.27,0,4.32,2.5,0,14.52,0,0,12.98,0,0,2.76,0.71,2.26,3.71,0,0
120,0,0,1.28,10.28,3.24,16.77,0,0,0,5.74,5.84,0,9.38,44.19,7.98,1.11,0,0,0,7.02,0,6.89,0,53.41,0,17.99,7.73,0,49.86,0,0,20.13,0,0,0,4.38,0,9.44,3.74,0
