stage,eye,glial,mesenchyme,neural,spinal_cord
 24-34,0,0,0,0,1.03
 36-46,0,0,0,0,2.41
 48-58,0,0,0,3.32,0.59
 60-70,1.09,0,0,0,0
 72-82,0.84,0,0,3.25,3.95
 84-94,1.3,0,0,5.81,0
 96-106,0,1.65,0,3.26,0
108-118,0,0.55,1.59,9.61,3.26
120,3.09,0,4.8,24.64,0
