stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  7-9,16.45,7.76,0,0,0,5.07,0,0,0,9.94,0,0,0,0,0,0,0,0,78.76,19.58,0,0,9.24,0,0,0,0,0,0
 10-12,0,6.8,0,0,0,9.49,0,0,0,0,0,0,0,0,0,0,0,0,74.4,0,0,0,7.48,0,0,0,0,0,0
 14-21,0,1.88,24.4,5.36,0,13.13,0,6.85,1.18,0,0,6.71,6.64,0,6.67,0,0,2.18,153.1,1.76,1.09,0,6.27,1.52,2.06,1,5.68,46.67,0
 24-34,0,0.61,1.31,2.51,0,6.94,1.38,2.31,0,0,0,0,0,0,5.23,0,0,1.6,66.03,0,0,0,0,0,0,0,0.85,14.1,0
 36-46,0,0,0,0,0,14.54,0,6.58,0,0,0,0,1.24,0,12.88,0,0,0.6,45.66,0,0,0,0,0,0,0,0.91,13.42,0
 48-58,0,0,0,0,0,11.54,0,0.57,0,0,0,0,0,0,1.63,0,0,0,15.69,0,0,0,0,0,0,0,0,2.27,0
 60-70,0,0,0,0,2.15,12.45,0,1.29,0,0,0,0,0,0,2.83,0,0,0,32.39,0,0,0,0,0,0,0,0,1.28,0
 72-82,0,0,0.67,0,0,5.54,0,7.88,0,0,0.68,0,0,0,2.42,1.48,0,0,24.23,0,0,0,0,0.65,0,0,0,5.57,0
 84-94,0,0,0.58,0,0,8.94,0,4.7,0,0,1.55,0,0.6,0,2.01,0,2.39,0.64,28.91,0,0,0,0,0,0,0,0,2.87,5.7
 96-106,0,0,0,0,0,16.12,0,4.63,0,0,0.62,0,0,0,2.83,0,0,0,17.54,0,0.6,0,0,2.81,0,0,0,0,0
108-118,0,0.49,1.35,0.43,7.8,19.23,0.47,13.93,1.29,0,4.09,2.9,0,0.74,14.95,0,0,6.28,63.84,0,0.46,1.09,0,0,0,0,0,0,9.57
120,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,13.96,0,0,0,0,0,0,0,0,0,0
