stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,55.73,2025.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.05,0,0,0,0,0,0,0,0,0
  5-6,30.6,738.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.02,0,0,0,0,0,21.7,0,0,0,0,0,0,0,0,0
  7-9,0,12.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.96,0,0,0,13.67,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.11,0,0,0,0,0,6.55,0,0,0,0,0,0,0,0,0,0,13.39,10.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.94,0,4.61,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0,2.28,5.49,7.31,0,0,0,0,4.79,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.8,0,0,4.37,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,4.32,107.78,0,0,4.05,0,0,0,1.39,0.74,3.48,23.77,0,0,0.87,0,0
 36-46,0,0,0,0,0,0,31.61,0,0,0,0,0,0,0,0,0.63,0,1.98,0,1.09,5.39,0,0.92,317.79,0.97,0,2.33,0,0,0,0,0,0,24.84,0,0,1.66,0,0
 48-58,0,0,0,7.74,0,0,245.46,1.19,0,0,8.35,0,0,0,4.81,0.52,3.88,0.92,0,0,4.71,0,6.21,597.8,0,0.85,4.57,0,0,0,0.43,0,0,37.69,0,0,2.69,0,0
 60-70,0,0,0,8.36,0.94,0,1668.14,3.01,0,1.47,32.69,0.59,0,0,0,1.88,0,5.09,0,0,10.07,0,6.16,1418.92,0,0,2.31,0,0,3.25,0.6,1.45,0,113.32,0,0,0,0,0
 72-82,0,0,0.71,12.32,0,0,2754.6,4.41,0,1.89,55.76,0,0,0,0,9.79,1.2,4.78,3.43,0,35.41,1.19,2.75,1998.68,0,1.8,9.22,0,0,0,1.82,3.35,0,105.34,3.98,3.88,4.28,1.19,10.86
 84-94,0,0,0,6.44,1.73,0,1783.1,0,0,0,60.11,2.7,0,0,4.26,2.26,1.29,2.41,0,0,36.1,0,1.52,1301.54,0,4.09,13.43,0,0,3.91,0.67,0.81,0,46.62,0,0.84,1.51,5.23,0
 96-106,0,0,1.9,19.26,3.17,2.1,2311.81,0,0,0,52.01,2.44,0,3.87,3.68,1.79,3.06,0,8.27,3.42,47.45,0.93,3.05,1217.5,0.65,6.31,16.47,0,0,8.8,0,5.61,0,49.37,0,0,5.13,0.93,4.2
108-118,0,0,1.75,10.25,2.54,0.76,1761.5,1.3,0.74,2.81,56.52,1.84,0,2.6,0.45,0.82,0,4.72,0.89,4.49,67.71,3.67,1.84,1330.18,0.69,2.17,11.27,0,1.23,5.82,0.85,1.09,0,39.51,8.19,2.65,0.51,2.32,0
120,0,0,0,11.59,4.86,0,1141.17,0,17.92,4.45,83.85,3.59,0,0,9.32,1.51,0,4.48,0,0,102.88,30.67,3.79,2490.59,0,0,9.35,0,0,0,1.58,0,0,47.09,0,0,18.94,0,0
