stage,blastomeres,endoderm,epidermis,eye,glial,gut,mesenchyme,neural,olfactory,paraxial_mesoderm,pronephros
  5-6,10.59,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.54,0,0,0,0,0,3.62,0,8.03,0
 10-12,0,0,0,0,0,0,0,12.57,0,0,0
 24-34,0,0,0.81,0,0,0,0,0.69,1.56,0,0
 36-46,0,0,0,0,0,0,0,0.9,0,0,0.56
 48-58,0,0,0,0,0,0,1.03,0.81,0,0,0
 60-70,0,0,0,1.97,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.62,13.13,0,3.22
 96-106,0,0,0,0,0,1.42,3.3,0,5.62,0,0
108-118,0,0,0,0,2.56,0,1.44,2.22,6.38,0,0
120,0,0,0,0,0,0,0,0,36.08,0,0
