stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,immune,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature
  3-4,52.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,20.03,0,0,5.18,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,6.55,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.78,0.83,0,0,0,1.01,29.55,1.67,4.88,0.83,0,0,0,0,0,0,6.59
 36-46,0,0,0,0,0.72,0.76,0,43.72,0,9.3,0,0,0,0,0,0,0,4
 48-58,0,0,0,0,0,0,0,41.52,0,0,0,0,0,0,0,0.95,0,2.28
 60-70,0,0,0.88,3.1,0,0,0,49.04,0,1.17,0,0,0,0,0,0,0,1.7
 72-82,0,0,0.96,0.92,0,0,0,85.17,0,2.03,0,0,0,0,2,0,0,1.99
 84-94,0,0,1.73,7.58,0,1.59,0,106.07,0,0,0,0,0,0,0,0,0.62,3.18
 96-106,0,0,1.91,0,0,0,0,121.39,2.35,3.06,0,1.28,0,0,0,0,0,2.44
108-118,0,0,0,0,0,2.73,0,154.83,0.85,6.23,0,0,0,0.76,0.41,0,0,1.14
120,0,0,0,0,0,0,0,221.31,0,2.85,0,0,0,0,0,0,0,7.93
