stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,30.34,1256.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.86,0,0,0,0,0,0,0,0,0,0
  5-6,97.03,1453.57,0,0,0,0,0,0,0,0,0,0,16.22,0,0,0,0,0,0,0,0,0,0,0,44.45,0,0,0,29.35,0,6.32,0,0,0,0,0,0,0,0,0,0
  7-9,6.94,19.37,0,19.16,0,0,0,22.13,0,0,0,0,28.27,0,0,0,0,0,0,0,0,0,0,0,448.48,19.5,0,0,106.19,0,5.78,0,0,0,0,0,0,0,0,0,0
 10-12,0,26.4,0,42.06,0,5.97,0,36.66,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,404.78,49.55,0,0,101.42,0,0,0,43.49,0,0,7.02,0,0,0,0,0
 14-21,0,0,0,0.84,12.14,4.45,0,5.65,0,0,0.87,0,0,0,0,1.62,0,0,1.19,0,3.52,0,0,5.77,70.36,2.77,0,0.94,0,0,4.73,4.56,0,0.98,6.61,25.7,0,0,0,0,0
 24-34,0,0,0.66,0,5.11,0.76,0,14.05,0.7,0,1.43,1,0,0.6,0,0,0,0,0,0,15.17,0,0,8.12,148.29,0.62,0,10.97,0,0,49.58,0,0,0,2.01,35.46,0,0,7.74,0,0
 36-46,0,0,0,0,0,0,0,41.43,3.83,2.55,6.91,0,0,0,0,0,0,0,0,1.57,8.92,0,0.8,2.02,214.2,0.68,2.84,0,0,0,28.62,0,0,0,0,54.53,0,0,3.96,0,0
 48-58,0,0,0,0,0.94,0,0,44.33,0,0,6.48,0,0,0,0,0,0.98,0,0,0,20.26,0,1.75,2.91,152.23,5.5,5.85,3.1,0,0,19.98,0,15.4,0,0,42.45,0,0,2.41,0,3.06
 60-70,0,0,0,0,6.52,2.01,0,71.53,0.74,0,2.65,0,0.97,0,11.25,0,0.66,0,0,8.58,21.72,0,7.19,0.83,194.81,0.68,0.7,0,0,0,9.01,0,0,0,0,33.53,0,0,10.76,0,0
 72-82,0,0,1.49,0,2.1,6.96,0,75.08,0,0.71,18.03,0,0.65,3.2,0,0,0,1.74,0,0,32.21,2.42,1.76,1.82,149,0.56,0,0,0,0,5.25,0,1.04,0,0,32.5,0,4.04,5.95,0,24.33
 84-94,0,0,0,0,4.04,0,0,57.88,0,1.88,22.56,0,0,0,0.7,1.91,0.83,1.7,0.83,3.13,18.4,1.81,1.53,1.13,74.3,1.52,1.53,1.54,0,0,18.52,0,0,0,0,9.82,0,2.08,4.34,2.24,0.74
 96-106,0,0,1.1,0,5.73,4.49,0,58.24,2.22,1.08,15.81,9.88,0,0,3.67,0.78,1.2,1.95,0,1.3,29.68,1.66,1.37,1.31,79.76,0,2.47,0.73,0,2.84,29.59,0,0,0,0,15.15,0,0.85,5.21,0,7.99
108-118,0,0,0,0,7.76,1.64,0.61,50.06,2.92,0.48,8.64,0.9,0,0,3.19,1.34,5.31,0.56,0.55,2.9,16.08,4.79,0.79,0.5,124.04,0,0.52,1.9,0,0,12.68,0,0,0,0,1.92,4.12,0,7.69,0,0
120,0,0,0,0,4.76,0,0,55.73,0,0,17.68,0,0,0,0,0,4.85,0,0,0,16.34,0,2.18,0,98.23,3.22,2.2,5.69,0,0,5.23,0,1.75,0,0,0,0,0,10.9,0,0
