stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,ionocyte,liver,mesenchyme,muscle,neural,otic,periderm,somites,spinal_cord,xanthophores
  5-6,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.28,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0.72,0,0,0
 36-46,0,0,0,0,0,0,2.07,0,0,0,0,0,0,0,0,0,2.73
 60-70,0,0,0,0,0,0,0,0,0,0,0,2.61,0,0,0,0,0
 72-82,0,0.62,0,1.72,0,1.5,0,0,0.5,0,0,4.55,0,2.82,0,0,0
 84-94,0,0,0,0,1.47,0,0,0,0.69,0,0,0,0,11.27,0,0,0
 96-106,0,0,3.23,1.4,5.15,0,0,0,4.13,0,0,8.89,2.47,53.08,0,4.05,0
108-118,0,0,0.57,0.84,0,1.13,0,0.56,2.78,1.67,0,2.73,0,133.18,0,0,0
120,0,0,11.79,0,0,1.01,0,0,1.23,0,1.9,2.86,0,86.34,0,0,0
