stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.92,55.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.45,5.46,0,0,5.87,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.61,0,2.08,0,0,0,0,0,0,0,0,1.27,0,0,0,9.95,0,0,0,0,0,0.82,0,0.94,2.23,0,0,0,0,0
 24-34,0,0,0,0.63,0,0,20.22,0,0,0,0.69,0,0,1.83,0,0.6,0,0,1.8,115.81,0,5.35,0,0,3.78,2.33,0,0,23.8,0,0,0,0,0
 36-46,0,0,0,12.4,0,0,20.13,0,0.99,0,0,0,0,0,0,5.11,0,0,0,180.34,0,5.71,3.13,0,16.92,0,0,0,39.64,0,0,0,0,0
 48-58,0,0,0,2.63,0,0,63.27,0,7.22,0,0,0,0,0.95,0,1.82,0,0,7.32,418.94,0.99,2.64,1.52,0,1.43,0,0,0,55.67,0,0,0,0,0
 60-70,0,0,0,1.6,2.56,0,130.57,2.02,10.1,0,0,0,0,0,0,0,0,0,0,513.4,0,0,0.63,0,0,0,0.63,0,45.59,0.84,0,0.76,0,0
 72-82,0,0,0.91,3.97,2.7,0,118.77,0,8.73,0,0,0,0,1.58,0,13.72,1.05,2.08,3.28,649.47,0,2.49,2.82,0,2.98,0,0,0,30.07,0,1.01,0,1.15,5.78
 84-94,0,0,0,19.32,1.21,0,131.14,0,16.42,0,0,0.69,0,2.24,1.04,8.59,0,0,0,499.41,0,0,3.93,0,0.65,0,0,0,18.87,0,0,3.13,0,0
 96-106,0,0,1.36,1.49,1.75,1.76,119.61,0,4.61,0.97,0,0.95,1.2,4.64,0,9.62,0,0,0,431.05,0,4.28,4.38,0,3.7,0,0.67,0,34.74,0,1.22,0,0,1.79
108-118,0,0,0,0.91,0.79,0,96.46,0,13.07,0,0,1.62,0.42,1.13,0,15.46,0,0,0,401.72,0,0,5.9,0,0,0,0,0,12.55,1.01,0,2.32,2.42,0
120,0,0,0,2.9,4.24,3.13,58.3,7.34,25.56,6.94,0,5.9,0,8.3,0,9.05,0,0,0,750.02,0,0,15.03,0,0,0,0,0,35.74,0,0,0,0,0
