stage,blastomeres,epidermis,eye,glial,heart,mesenchyme,neural,olfactory,paraxial_mesoderm,spinal_cord
  3-4,21.43,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,9.53,0
 10-12,0,0,0,0,0,0,13.33,0,8.41,0
 14-21,0,0,0,0,1.15,2.6,9.36,0,0,0
 24-34,0,0,0,0,4.59,0.89,6.57,0.67,0,0
 36-46,0,0,0,0,0.89,0,19.64,1.29,0,16.34
 48-58,0,0,1.79,0,1.25,0,37.48,0,0,1.66
 60-70,0,0,14.4,0,0,0,91.6,0,0,4.77
 72-82,0,0,15.62,0,0,0,74.35,0,0,3.35
 84-94,0,0,35.31,0,0,0,66.07,0,0,1.22
 96-106,0,0,73.45,1.56,1.33,0,48.56,0,0,5.3
108-118,0,0,23.21,0,0,0,47.89,0,0,0
120,0,2.4,21.16,0,0,0,91.44,0,0,0
