stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,220.25,3152.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.23,0,0,0,0,0,0,0,0
  5-6,130.32,3067.82,0,0,0,0,0,0,0,0,22.09,0,0,0,0,0,0,105.94,39.54,20.92,88.03,0,0,0,0,0,0,0,0
  7-9,0,31.16,31.35,0,0,22.28,0,0,0,0,12.73,0,0,0,0,0,0,430.6,4.06,151.12,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.84,3.15,74.42,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.38,0,0,0,0,0.86,1.49,0,0,0,1.89,0,0.91,1.12,3.61,0,0,0
 24-34,0,0,0,1.21,0,2.04,0,0,0,0,0,11.55,0,0,0,0,1.54,10.8,0,0,2.2,0,0.61,0,0,4.79,0,0.97,0
 36-46,0,0,0,0,0,0.95,0,0.88,0,0,0,2.36,0,0,0,0,0,1.36,0,0,1.94,0,2.5,0,0,2.08,0,0,0.64
 48-58,0,0,0,0,6.11,1.76,0,0,0.99,0,0,0,0,0,0,0,0,5.19,0,0,3.81,0,0,0,0,2.49,0,0,0
 60-70,0,0,0,0,0,0.82,1.17,0,0,0,0,4.9,1.31,0,1.24,0,0,2.73,0,0,2.58,0,0.83,0,0,4.61,0,0,0
 72-82,0,0,0,0,1.71,4.12,0,0,0,1.46,0,7.42,0,0,0,0.71,0,3.41,0,0,2.66,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.64,0.87,0,0,0,7.21,0,2.52,0,0.58,0,0,0,7.6,0,0,0.68,0,1.46,0,0,0,1.59,0,0
 96-106,0,0,0,0.6,0.69,14.23,0,0,0,1.6,0,4.46,0,0,0,0,0,2.49,0,0,0.85,0,0.81,0,0,0,0,34.23,0
108-118,0,0,0,0,1.29,3.31,0,0,0,5.54,0,2.62,0,2.31,0,0,0,0,0,0,3.55,0,3.91,0.69,0,0,0,42.73,0
120,0,0,0,0,0,0,0,0,0,0,0,6.52,0,0,0,2.44,0,27.3,0,0,7.36,0,4.9,0,0,0,0,347.81,0
