stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.35,83.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0,0,0
  5-6,0,141.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.71,0,0,0,0,0,0,0,0
  7-9,5.7,0,0,0,0,0,0,0,0,0,0,0,30.43,0,0,0,0,0,0,0,0,0,0,57.95,3.56,0,0,31.9,0,3.26,0,0,0,0,0,0,0,0
 10-12,0,11.13,0,25.11,0,0,15.07,0,0,0,0,0,8.28,0,0,0,0,0,0,0,0,0,0,48.52,0,0,0,29.93,0,0,0,6.28,0,0,0,0,0,0
 14-21,0,0,0,0,0.81,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,10.91,0,0,0,1.32,0,0,4.31,0,2.81,3.6,0,0,0,0
 24-34,0,0,0,0,1.23,0,0,0,0,0,2.24,0,0,1.04,0,0,0,0,0,0.7,0.74,0,0,199.4,0,1.82,0,0,0,0.81,0,0,0.74,50.98,0,0,0,0
 36-46,0,0,0,0,2.95,0,22.38,0,0,0,7.21,0,0,0,0,0,0,0,10.02,0,0.98,0,0,543.34,0,2.68,0,0,0,1.89,0,0,0,105.75,0,0,0.81,0
 48-58,0,0,0,0,3.87,0.37,226,0,0,1.2,26.52,0,0,0,0,0,0,0,0,4.01,7.32,0.46,4.78,848.29,0,0.48,0,0,0,1.59,0,0,0,115.12,0,0,0.77,0
 60-70,0,0,1.23,0,2.95,0,892.79,0,0,0,31.62,0,0,0,1.06,0,9.62,0,5.7,0,5.07,0,0.95,1518.69,0,0.72,2.63,0,1.26,0.59,0,0.6,0,158.35,0,0,0,0
 72-82,0,0,0,0,6.57,1.05,984.53,0.59,2.13,5.24,30.34,0.56,0,0,0,0.56,4.71,0,0,0,24.31,0,2.13,1290.69,0,0.84,1.09,0,2.97,0,0,0,0,98.11,0,3.19,0,0
 84-94,0,0,1.01,0,16.17,4.05,592.46,0,0,8.02,39.06,0,0,0,0,0,0,0.81,0,0,31.42,0,0,782.02,0,0,0,0,0,5.91,0,0,0,63.05,0,1.07,0,0
 96-106,0,0,0,0,9.99,0,612.37,0,0,0,27.87,0,0,0,0,0,0,0.84,0,0,16.01,1.59,0,730.74,0,0,0.65,0,0,2.7,0,0,0,31.81,0,0,0,0
108-118,0,0,0,0,12.57,0.84,526.68,0,0.77,0,52.14,0.75,0,0,0,0,0,0,0,0,25.72,0,0.9,798.48,0,0,3.52,0,0,2.96,0,0,0,3.62,2.42,0,4.12,1.71
120,0,0,0,0,22.99,0,502.87,0,0,0,50.73,0,0,0,0,0,0,0,18.25,0,16.94,0,1.82,1670.08,0,4.21,0,0,0,0,0,4.05,0,46,1.39,0,0,0
