stage,gut,immune,mesenchyme,neural,vascular_smooth_muscle,vasculature
 48-58,0,0,0,6.62,0,0
 60-70,4.34,0,0.81,0,0,0.98
 72-82,0,0.75,0,0,0,0
 84-94,0,0,2.21,0,0,0
 96-106,0,2.57,0,0,0,1.32
108-118,0,0.74,0,0.5,1.7,5.3
120,0,5.37,0,0,0,77.4
