stage,epidermis,erythrocytes,eye,fin_epithelia,glial,ionocyte,mesenchyme,mural_cell,neural,presomitic_mesoderm,somites,spinal_cord,visceral_smooth_muscle
 14-21,0.81,0.82,0,0,0,0,1.71,0,0.91,1.31,3.05,2.79,0
 24-34,9.13,0,0,0,0,0,1.72,0,4.82,0,0,4.98,0
 36-46,19.25,0,0,0,0,0,0,0,1.86,0,0,1.31,0
 48-58,4.79,0,0,0,0,0,0,0,1.06,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,1.02,0,0,0,0
 72-82,0,0,0,0,1.79,0,0,0.91,4.75,0,0,0,0.54
 84-94,2.6,0,4.83,0,0.58,0,0,0,0,0,0,0,0
 96-106,3.1,0,0,0,1.71,0,0,0,2.85,0,0,0,0
108-118,0.59,0,0,0.49,0,2.59,0,0,1.41,0,0,0,0
120,0,0,0,0,0,0,0,0,6.52,0,0,0,0
