stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,liver,mesenchyme,mucous,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,49.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,32.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.85,0,0,4.13,0,0,0,0,0,0,0,0,30.93,0,0,0,0,0,0,0,0
 10-12,0,3.34,0,0,11.68,0,0,0,8.15,0,0,0,0,61.19,3.14,0,6.26,0,0,0,0,0
 14-21,0,0,1.61,0,0,0,0,0,0,0,0,0,0,4.12,0,0,0,0.8,0,2.37,1.99,0.89
 24-34,0,0,0,0.95,0,0,0,0,0,0.69,0,0,0,2.6,0,0,0,0,0,0,1.36,6
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.66,0,1.35,0,0,0,0,0,0,0.73,1.06
 48-58,0,0,0,0,0.49,0,0.83,1.77,0,0,1.59,0,0,3.44,0,0,0,0,0,0,0.74,0
 60-70,0,0,0,0,2.9,2.51,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0.58
 72-82,0,0,0,0,0,13.53,0,1.81,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0
 84-94,0,0,0,0,0,1.1,0,0.91,0,0,0.61,0,0,2.94,0,0.9,0,0.8,0.8,0,0,0.95
 96-106,0,0,1.73,0,0,11.42,0,0,0,0,2.05,0.61,0,0,0,0,0,9.14,0,0,0,0.88
108-118,0,0,0.52,0,0,1.23,0,0,0,0,0,0,0.77,2.45,0,0,0,10.29,0,0,0,0
120,0,0,1.39,0,0,0,0,0,0,0,0,1.96,0,1.17,0,0,0,13.63,0,0,0,0
