stage,blastomeres,eye,glial,gut,ionocyte,lateral_line,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,16.62,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,43.56,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.22,0,0,0,0,0,0,0,33.06,4.08,0,0,0
 10-12,0,0,0,0,0,0,0,0,39.99,19.55,0,0,0
 14-21,0,0,0.82,0,0,0,1.03,0,3.5,0.9,0,1.45,1.08
 24-34,0,1.42,0,0,0,0,0,0,2.87,0,2.18,1.21,0
 36-46,0,0.71,0,0,0,0,2.1,0,1.85,0,0,0,0
 48-58,0,0.45,0,0,0,0.49,0,0.54,1.36,0,0,0,0
 60-70,0,0.65,0,0,0,0,2.54,0,1.1,0,0,0,0
 72-82,0,0,0,0,0,0,0.79,0,0,0,0,0,0
 96-106,0,0,0,0.79,0,0,0,0,1.3,0,0,0,0
108-118,0,0,0.94,0,2.08,0,0,0,0,0,0,0,0
