stage,axial,blastomeres,epidermis,eye,glial,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord
  5-6,17.3,18.42,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,9.4,3.71,3.51,0,0,0,0
 10-12,0,0,0,0,0,0,24.46,0,0,0,0,4.35,0
 14-21,0,0,0,0,0,0,1.61,0.8,0,0,3.14,3.46,0
 24-34,0,0,1.1,0,0,0,7.37,0,0,0,0,0,0.72
 36-46,0,0,0,0.61,0,5.17,4.29,0,0,0,0,0,0
 48-58,0,0,0,0.61,0,0,6.01,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.15,1.44,0,0,0,0,0,0
 72-82,0,0,0,4.27,0,0,4.4,0,0,0,0,0,0
 84-94,0,0,0,3.17,1.12,0,0.88,0,0,0,0,0,1.97
 96-106,0,0,0,4.52,0,0,3.75,0,0,0,0,0,0
108-118,0,0,0,2.32,0,0,0,0,0,2.46,0,0,0
120,0,0,0,0,0,0,9.29,0,0,0,0,0,0
