stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,17.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,0,0,0,0,0,0,0,0,0,0
 10-12,8.14,0,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,39.3,0,1.17,1.09,0,0,2.47,0,0,0,0,0,5.39,0.83,152.67,0,0,0,0,0,0
 24-34,0,0,3.58,0,0,0,0.98,0,0,0,0,20.95,0,0,0,4.82,0,0,181.78,0,4.29,0,0,3.11,18.02,0,0,0,0,0,44.3,0,612.52,1.19,0,0,1.51,0,0
 36-46,0,0,0.69,0,0,0,0.62,0,0,0,0,50.64,0,1.84,0,9.59,0,0,114.59,0,1.45,0,0,0,13.78,0,0,0,0,0,61.43,0,392.32,4.1,0,0,0,0,0
 48-58,0,0,0,0,0.71,0,10.27,0,0.8,0,1.36,103.46,0,0,0,0.92,0,0,243.27,0,2.34,0,0,0.4,40.4,0,0.96,0,0,0,55.02,0,214.96,3.6,0,0,0,0,6.86
 60-70,0,0,0,0.62,0,0,11.16,0,0,2.28,1.08,80.63,0,0,0,1.99,6.36,0,332.13,0,6.48,2.16,0,0,24.71,0,0,0,0,0,76.74,0,321.53,3.32,0,0,0,0,0
 72-82,0,0,0,5.66,6.58,0,52.38,0,0.78,0.68,8.31,91.32,0,0.87,1.9,5.03,0,0,1088.48,0,17.27,0,0,1.09,170.48,4.41,3.12,1.3,0,1.4,49.58,0,551.24,6.45,0,0,0.5,0,8.95
 84-94,0,2.34,0.68,14.69,26.59,0,67.6,6.05,0.79,0.61,2.96,171.6,3.41,4.8,6.78,13.54,0,1.34,3620.86,0.96,30.35,2.18,0,2.96,212.46,0,3.34,0,0,0,130.79,0,1388.93,6.19,6.09,0.74,3.96,2.03,0
 96-106,0,2.89,1.09,11.99,30.38,3.13,151.3,0,1.28,8.68,56.26,93.73,0,0,14.84,12.87,2.64,3.86,4008.58,0.69,79.25,5.46,3.71,7.4,529.35,0.75,1.05,4.06,0,0,116.32,0,945.85,8.84,6.1,0,14.19,1.91,10.93
108-118,0,0,2.51,24.39,14.68,2.96,123.93,0.69,5.72,4.98,29.96,41.84,0,0.86,4.28,13.1,4.95,6.12,7269.26,0.91,68.98,9.59,5.76,5.86,448.45,2.48,7.04,6.65,0,0,83.84,0,918.41,12.55,0,2.41,9.54,2.26,0
120,0,0,0,8.29,2.43,0,27.69,0,0,25.51,29.96,14.25,0,0,0,20.09,0,0,2822.46,0,50.14,0,3.7,0,263.27,0,0,0,10.96,0,99.52,0,523.77,1.64,0,0,6.32,0,0
