stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.07,211.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,39.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.87,3.26,0,0,14.9,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.27,0,15.94,0,0,0,12.71,0,0,0,0,3.87,0,0,0,0,0,0,0,0,0,0,0,198.2,0,0,0,70.41,0,0,0,0,5.78,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,10.78,0,0,5.7,0,0,4.13,0,0,1.1,0,1.77,0,0.93,8.29,0,12.53,0,0,2.05,85.93,0.88,1.87,0,0.82,0,0.81,1.4,7.36,0.83,0,12.84,26.34,0,0,0,0,0
 24-34,0,0,0,0,5,0.96,0,22.24,0.73,0,15.49,0,0,0,0.9,0,0,0.61,4.46,0,18.03,0,0,10.04,354.03,2.15,3.06,3.95,0,0,16.96,0,0,1.72,0,0.64,102.85,0,0,2.84,0,0
 36-46,0,0,0,0,5.95,0.6,0,56.49,0,0,30.41,0,0,1.77,0,2.43,0,0.67,0,6.22,36.27,0,0,12.66,500.2,0.57,7.45,14.23,0,0,26.42,0,0,6.58,0,0,115.68,0,0,7.4,0,1.47
 48-58,0,0,0,0,9.79,0,0,181.72,1.27,4.52,43.16,0.51,0,0,0,0.76,5.43,0,1.52,0.51,51.45,0.84,1.36,12.79,705.08,0.45,3.71,3.75,0,0,6.15,0,0,0,0,0,128.82,0,0.44,4.91,0,2.95
 60-70,0,0,0.62,0,10.41,0,0,378.75,2.51,0.85,72.88,0.81,2,0,2.02,0,0,0,0,0,46.86,0,0.75,5.11,694.49,3.04,7.81,2.8,0,0.66,16.93,0,0,0,0,0,79.56,0,0,0.93,0.64,6.35
 72-82,0,0,0.76,0,4.79,5.51,0.52,348.46,0,7.97,55.18,1.13,0,2.29,0,0.61,0.57,0.68,14.47,0,56.22,0,2.65,11.5,641.58,1.46,1.28,12.07,0,0,5.29,0,0,0.9,2.66,0,61.06,0,2.82,4.77,0.5,2.33
 84-94,0,0,0,0,10.6,0.59,2.15,310.03,2.12,2.39,42.6,12.98,0,2.4,6.74,0.6,0,0.69,1.91,0,68.88,0.86,8.39,5.52,475.28,0,3.86,8.76,0,0,21.1,0,0,3.02,0,0,34.17,0.56,1.13,20.73,2.11,0
 96-106,0,0,0.81,0,7.53,10.12,2.5,250.76,0.57,6.38,37.09,6.61,0,1.61,1.91,0.86,1.8,1.66,10.13,0,54.03,2.57,1.34,4.77,359.65,0,2.19,8.34,0,1.54,19.29,0,0,1.49,0,0,12.56,0,2.64,11.21,2.19,1.93
108-118,0,0,1,0,7.43,5.28,16.86,187.6,0,0.75,23.93,20,0,0.56,3.4,3.56,0,4.11,13.82,0,64.81,1.3,1.5,4.77,384.55,1.72,4.43,6.26,0,1.07,12.17,0,0,0,0,0,20.43,0,1.58,12.69,1.07,3.89
120,0,0,0,4.41,3.42,1.84,0,123.9,0,0,13.76,17.73,0,1.54,1.58,3.69,0,0,0,0,24.65,0,0,0,503.33,0,2.28,6.49,0,0,4.64,0,0,0,0,0,0,0,1.95,0,3.74,0
