stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,95.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1,0,0,0,0,0,0
  5-6,105.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.36,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.26,0,0,0,21.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.08,5.55,0,0,25.75,0,0,0,0,0,0,0,0
 10-12,0,7.18,0,0,41.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.81,21.05,0,0,43.37,0,0,0,0,0,0,0,0
 14-21,0,1.08,3.75,0,0.96,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,12.71,0,0,0,0,0,0,2.51,1.69,5.61,0,0,0
 24-34,0,0,1.45,3.85,2.46,0,0,1.24,3.25,0,0,0,0,0,0.77,18.42,0.76,0,2.79,49.16,0,3.56,10.78,0,0,0,0,0.72,10.85,0,0,0
 36-46,0,0,0.85,0,11.65,0,0,0,3.14,0,0,0.73,13.38,0,0,6.88,0,0,1.83,82.46,0,7.37,13.99,0,0,1.41,0,0,8.69,0,0,0
 48-58,0,0,3.11,0,9.91,0.57,0,0,8.48,0,1.83,0,4.1,0,0,18.28,0,0,3.44,68.51,0,12.86,16.51,0,0,0,0,0,9.26,0,0,0
 60-70,0,0,0,0,14.71,0,0,0,19.88,0,0,0,8.28,0,0,23.22,0,1.14,1.96,40.11,0,14.44,33.18,0,0,0.6,0,0,5.24,1.31,1.37,0.87
 72-82,0,0,0.51,1.63,23.78,0,0,0,68.14,0,0,0.5,27.03,0,0,32.39,0,1.11,1.25,39,0,32.41,67.76,0,0.72,2.17,0,0,1.28,1.02,4.47,0.51
 84-94,0,0,1.7,0,14.9,0.67,0,1.75,77.34,0,0,0,32.14,0,0,17.18,0,0,2.43,41.8,0,23.57,126.76,0,0,2.55,0,0,9.51,2.97,0,0
 96-106,0,0,3.69,2.35,18.97,0,0,0,132.3,0,0.61,0,73.49,7.43,0.68,9.88,0,0,0.58,36.27,0,74.84,193.3,0,0,1.52,0,0,0,0,0,0
108-118,0,0,3.32,1.3,9.07,0,0,0,180.39,0.86,0,0,52.61,0,0,22.41,0,0,2.48,17.38,0.5,69.36,118.33,0,0,0.94,0,0,0.94,0,4.74,0
120,0,0,1.7,15.06,20.43,0,17.06,0,273.02,0,0,5.41,75.06,0,0,31.61,0,0,4.37,90.72,0,73.27,184.73,0,0,2.74,0,0,12.11,2.71,10.6,0
