stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,115.36,1341.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.68,0,0,0,0,0,0,0,0,0
  5-6,34.54,867.4,0,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04,15.44,0,0,0,0,0,0,0,0,0
  7-9,7.1,0,0,0,0,5.98,7.11,0,0,0,0,0,9.07,0,0,0,0,0,0,0,0,0,0,0,137.76,14.99,0,0,31.52,3.78,3.47,0,0,0,0,0,0,0,0
 10-12,0,0,0,19.8,0,0,18.38,0,0,0,0,0,8.04,0,0,0,0,0,0,0,0,0,0,0,194.8,5.93,0,0,82.86,3.81,5.55,0,24.97,0,0,0,0,0,0
 14-21,0,0,1.07,0.9,29.72,1.88,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16,0,0,0,32.89,3.49,0,0,0,0,0,3.09,0.85,8.28,6.49,0,0,0,0
 24-34,0,0,0,0.81,14.26,0,4.29,0,0,1.54,2.25,1,0,0,0.73,0,0,0,0,0,9.56,0,0,5.59,31.65,0,0,2.46,0,14.24,0,0,0,0.67,6.73,0,0.79,0,4.76
 36-46,0,0,0,0,1.99,0,22.87,0,0,0,3.71,0,0,0,0,0.61,0,0,0,0,7.69,1.99,0,1.21,69.06,0.57,1.91,1.21,0,3.4,0,0,0,0,8.93,0,0.56,0,0
 48-58,0,0,0,0,6.17,0,19.81,1.09,1.23,0,7.82,0,0,0,0,0.38,0,0.69,0,0,21.58,0,0,1.13,33.91,0,0,0,0,12.72,0,0,0,0,3.99,0,0,0,0
 60-70,0,0,0,0,3.1,0,38.7,0,1.73,0,6.45,0.83,0,0,3.18,0,0,0,0,9.72,23.82,0,0,0,53.86,0,1.12,0,0,6.74,0,0,0,0,4.02,0,2.25,0.59,10.19
 72-82,0,0,0,0,3.06,0,11.94,0,0,1.19,13.65,0,0,0,1.67,1.16,1.24,0.61,0,0,27.13,0,2.98,1.91,68.25,0,0,1.17,4.01,2.49,0,0,0,0,8.5,0,1.61,0,0
 84-94,0,0,1.44,0,16.41,0,19.11,0,0.66,1.27,2.38,0.64,0,0,7.37,0,1.32,0,0,0.98,34.63,0,0,0.75,33.09,0,1.28,1.05,0,11.5,0,0,0.7,0,9.47,0.88,4.51,0,0
 96-106,0,0,0,0,6.49,0,11.64,1.64,0.57,0,12.35,1.67,0,2.51,3.14,0,0,1.08,0,0.57,31.21,0,0,0,28.86,0,0.56,2.2,0,4.52,0,0,0,0,3.26,0,2.96,0,0.79
108-118,0,0,0.75,0,9.13,0.9,8.08,0,1.01,0.66,14.72,0.63,0,0,8.96,0,0.92,0.49,1.48,0,27,0,0,0,56.85,0.43,0.64,6.26,0,2.63,0,0,0,0,0,0,0.81,0,1.73
120,0,0,0,0,18.54,0,10.64,0,0,0,10.18,0,0,0,12.2,0,0,0,0,0,19.88,0,0,0,94.93,0,0,0,0,1.89,0,0,1.56,0,0,10.65,0,4.27,0
