stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,14.39,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82,0,0,1.88,3.38,1.54,0,0,0,1.67,0,0,1.83,0,0,0,1.82,0,0
 24-34,2.66,0,0,1.3,0,0,0.78,2.77,0,0,2.61,0,0.62,0,0,0,4.23,5.07,0,0,2.41,11.28,0,3.57,0,0,5.08,0,0,0,0,0,0,14.51,0,1.71
 36-46,4.5,0,0,3.08,0,2.55,0,1.67,0,0,6.54,0,0.56,0,0,0,8.22,11.59,0,0,1.63,4.78,0,0,0,0,10.56,0,0,0,0.56,0,0,0.62,0,4.91
 48-58,2.93,0,0,4.96,0,0,2.19,3.8,0,0,0,0,0.44,0,0,0,1.18,4.34,5.21,0,3.39,10.04,1,1.66,0,0,22.21,0,0.93,0,1.64,0,0,1.63,0,5.68
 60-70,0.68,7.92,0,15.6,0,5.26,0,17.88,0,0,0,0,0,0,0.73,2.11,0.88,20.64,0,1.04,1.48,2.3,0.66,0,0.72,0,23.48,0,0,2.06,3.86,0,2.82,1.05,0.72,27.31
 72-82,5.48,3.55,0,3.97,4.16,0,13.77,35.03,0.64,0,3.53,0,3.12,0,0.84,0,0,49.99,0,2.89,0,6.51,0,0.67,0,0.71,17.6,0,0,3.1,0.64,0,0.87,0.66,2.74,6.5
 84-94,1.13,4.27,0,24.65,0,2.41,0.7,38.89,0.86,2,1.14,0.55,2.37,3.77,1.62,0,0,37.4,0.86,2.38,2.02,11.27,0.57,1.52,0,0,48.83,0,0.58,0,3.09,1.9,5.85,5.21,2.17,6.71
 96-106,9.33,1.12,0,8.57,0.64,2.39,0,53.19,0.96,0,0.95,0,6.33,0,0,0.97,7.04,46.23,2.45,9.63,0,15.99,0,0.7,4.76,1.54,27.1,0,1.49,0.62,0,6.47,0.63,11.9,10.66,8.07
108-118,11.95,4.8,0.55,3.55,0,6.6,4.31,26.45,10.2,0,3.03,0,5.9,4.44,3.03,4.53,1.61,60.37,0,0,1.85,26.01,0,1.84,1.49,2.41,36.62,0,0.87,0,4.41,2.93,3.76,4.76,4.8,4.72
120,9.84,0,0,24.25,0,1.06,0,26.63,10.19,0,5.85,1.29,3.16,0,1.34,0,1.79,59.26,2.78,15.03,3.1,6.65,1.29,2.89,2.49,0,39.93,2.5,5.18,0,0,0,2.93,7.06,1.8,4.45
