stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,25.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.1,0,0,0,0,0,0,0,0,0,0,0
  5-6,41.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623.1,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.91,0,0,0,0,0,0,0,0,0,0,0,0,23.67,0,0,0,19.46,50.79,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,23.97,0,12.48,0,0,0,0,0,0,0,0,0,0,0,0,0,82.52,0,0,0,69.22,28.14,0,0,10.02,0,0,0,0,0,0,0,0
 14-21,0,0,3.83,98.59,36.42,0,0,0,1.65,2.12,3.3,0,0,0,25.94,0,1.22,11.8,61.94,2.9,7.81,62.92,2.52,1.06,0.91,14.51,0.88,1.91,49.43,17.56,0,0,40.75,0,0
 24-34,0,0,0,2.02,0,0,0,0,0.65,0,0,0,0,0,104.15,1.14,0,1.76,26.19,0,16.2,78.05,0,0,0,0,0,0.62,0,6.03,0,0,26.07,0,0
 36-46,0,0,0,3.21,0,1.88,0,0,0,0,0,0,0,0,43.49,0,0.86,1.33,28.43,0,5.61,5.78,0,1.06,0,0,0,0,0,12.5,0,0,0.65,0,0
 48-58,0,0,0,1.43,0,7.8,0,1.82,0.38,0,0.38,0,0,0,33.72,0,2.02,1.21,10.13,0,1.89,14.69,0,2.29,0,0,0,2.11,0,4.41,0,0,0,0,0
 60-70,0,0,0,0.59,0,3.02,0,0,2.37,0,0,0,0,0,68.68,0,0,0,47.24,0,0,40.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.62,0,1.26,0,14.09,0,0.5,8.42,2.2,0,0,0,0,165.4,0,5.36,0,56.47,0,1.31,80.84,0,0.71,0,0,0,0,0,6.69,0,0,0,0,0
 84-94,0,1.23,0,2.29,0,1.81,0,0,13.11,4.2,0,2.24,0,5.76,285.4,0,1.47,0,31.25,0,0,198.09,0,3.2,0,0,0,0.81,0,10.49,0,0,0,0,0
 96-106,0,0,0,0.81,1.67,11.56,0,0,16.91,2.43,0,2.47,0,0,492.19,0,19.36,0,40.69,0,3.58,287.48,0,3.94,0,0,0,0.7,0,2.38,0.69,4.09,4.72,0,0
108-118,0,0,0,2.12,2.69,7.56,1.22,0,14.01,2.36,0,0.78,0.72,0,447.02,2.23,12.77,0,69.77,0,0,207.69,0,0,0,0,0,5.15,0,0,0,0,0,0.87,1.94
120,0,0,0,3.99,0,10.43,0,0,0,15.74,0,0,0,0,320.68,0,8.64,0,22.93,0,0,233.33,0,0,0,0,2.89,1.63,0,0,5.08,0,0,0,0
