stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,38.17,273.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.67,162.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.73,0,10.55,0,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.23,8.99,0,0,3.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.15,0,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,5.36,0,0,5.47,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,10.36,0,0,0,0,0,0,0,1.66,0.82,0,3.28,0,0,0,0,0
 24-34,0,0,0,1.28,0,0,1.9,0,0,0.68,0,0,0,0,9.85,0.81,0,0,0,0,2.58,0,0,9.55,72.29,0,0,1.36,0,0,0,0,0,4.04,0,9.98,0,0,3.24,0,0
 36-46,0,0,0,4.51,0,0,2.79,0,0,0.62,0,0.59,0,1.77,0,4.79,0,0,0,0,0,0,0,0.93,84.94,0.81,1.86,2.92,0,0,6.88,0,0,0,5.66,24.8,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,15.27,0,0.52,0,5.5,0,0,0,0,0.97,0,0,0,0,1.79,0,0,2.74,95.86,0,2.47,1.02,0,0,2.04,0,0,0.48,7.74,31.19,0,0,1.04,0,0
 60-70,0,0,0,1.46,0.97,0,95.32,0.58,0,0,7.81,0,0,0,0,5.18,1.2,0.88,0,0,19.4,0,0.66,1.9,168.43,1.1,3.15,1.83,0,0,6.75,0,0,7.1,4.6,49.46,0,0,0,0,0
 72-82,0,0,0,8,38.5,0,143.34,5.34,0,0,16.61,0,0,0,0,0.53,0,2.45,0.96,6.22,20.3,1.79,0,0.63,270.35,1.77,4.19,10.44,0,0,5.21,0,0,0.73,0.59,24.23,0,0,1.64,0,0
 84-94,0,0,0,6.42,27.39,0,147.17,0,5.97,2.18,18.12,1.58,2.11,0.8,0,1.8,0,0.83,0,1.13,25.76,0,0,2.7,236.53,0.74,2.27,8.37,0,0,35.98,0,0,1.23,1.97,26.49,0,1.79,4.98,0,10.43
 96-106,0,0,0,10.14,62.33,0.89,304.25,4.18,0,0.82,57.92,3.79,0,0.62,1.64,2.57,1.14,4.78,0,0.71,42.44,1.23,0.58,0.84,385.08,1.63,10.39,20.27,0,1.57,25.01,0,0,4.5,0.63,39.59,0.59,0.9,3.49,1.28,1.21
108-118,0,0,0,10.18,22.1,2.73,300.05,2.66,5.47,1.28,81.76,2.84,0,1.19,0.58,6.48,0,1.53,0.56,3.12,44,2.58,1.98,5.2,429.05,0.49,4.66,12.33,0,0,18.15,0,0,5.82,6.4,33.07,1.34,0,1.35,0,19.96
120,0,0,0,23.15,24.1,0,375.31,6.88,0,0,67.84,8.81,0,0,6.8,5.09,1.01,0,0,0,66.25,0,13.86,16.87,1099.69,0,34.26,27.34,0,0,17.57,0,0,6.9,1.22,35.74,0,0,12.32,0,0
