stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,10.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,210.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.47,0,0,15.53,0,0,35.27,0,0,0,3.82,0,0,0,0,0,0,0,0,0,0,0,189.27,0,0,0,63.09,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,18.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.42,10.56,0,0,80.36,0,0,0,18.27,0,0,3.28,0,0,0,0,0
 14-21,0,0,0,0,5.32,5.74,0.85,0,58.52,0,0,1.1,0,0,0,0,0,0,8.36,0,0,2.84,78.63,2.5,5.18,15.48,5.15,0,3.5,1.83,87.84,1.07,3.65,178.54,0,0,0,0,0
 24-34,0,0,0,0,2.11,0.67,2.75,0,76.54,0,0,0.81,0,0,0,0,0,0,9.75,0.87,0,1.31,129.27,2.86,30.69,5.33,0,0,0,0,63.39,0,0,185.76,0,0,7.61,0,4.46
 36-46,0,0,0,0,0,0,12.75,0.65,44.18,0,0,0,0,0,0,0,0,0,5.85,0,0,0.9,193.67,0.65,39.79,1.64,0,0,3.93,0,52.94,0,0,128.89,0,0,0.71,0,0
 48-58,0,0,0,0.43,0.88,0,35.94,0,82.12,0,0,0.58,0,0,0,5.34,0,0.47,12.74,1.67,0,1.48,164.96,0.83,15.66,16.85,0,0,0,0,20.27,0,0,104.51,0,0,0.76,0,0
 60-70,0,0,0,0,0,0,31.92,0,58.1,5.56,0,0.76,0,0,0,11.83,3.59,0,20.08,0,0,1.64,127.11,0,33.22,14.67,0,0,0.63,0,5.05,0,0,105.01,0,0,0,0,0
 72-82,0,0,0,0,0,0,27.71,0,101.86,0.53,0,1.02,0.53,0,0,11.79,1.35,0,14.18,0,1.65,1.21,107.9,0,41.75,25.75,1.13,0,0,0,3.95,0,0,48.79,0,0,4.9,0.77,0
 84-94,0,0,1.6,0,6.51,0,26.81,0,109.18,0,0,0,2.48,0.92,0,9.98,0,0,29.99,1.81,0,0.68,104.27,0.69,53.55,48.71,0,0,4.38,0,4.96,0,0,52.37,4.06,0,0,1.1,0
 96-106,0,0,0,0,3.09,0,30.71,0,80.29,1.75,0,0.73,5.3,0,0,25.17,0,0,12.08,0,0,0,92.97,0.79,62.37,64.55,0,1.3,4.52,0,3.37,0,0,31.18,0.59,2.88,4.55,1.86,8.23
108-118,0,0,0,0,5.99,2.1,29.79,6.04,91.3,4.03,0,2.03,0.56,0,0.62,21.9,0,0.44,11.6,0,1.96,0.51,119.97,0,42.31,56.22,0,0,1.57,0,6.75,0,0,33.59,4.28,0,0,0,0
120,0,0,0,0,12.73,0,21.08,11.18,43.09,2.82,0,0,1.52,0,0,15.78,0,0,16.43,0,0,0,212.41,0,24.9,87.23,0,0,3.47,0,9.87,0,0,19.28,0,0,0,0,4.33
