stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.99,40.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.38,198.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.64,6.22,0,0,0,7.15,0,0,0,0,0,0,0,0,0,0,0,0,205.68,5.9,0,11.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,68.47,12.59,0,0,5.07,0,0,0,0,0,0,0,0,0,0,0,0,5122.9,5.45,0,156.73,0,0,0,31.47,0,0,0,0,0,0,0
 14-21,0,0,0,19.44,0.85,0.88,0,0,0,0,0,0,0,0,0,4.12,0,3.88,56.62,0,0.93,0,0,13.23,0,0,129.11,213.02,13.03,0,4.49,0,0
 24-34,0,0,0,5.63,0.6,2.74,0,0,0,1.07,0,0,1.06,0,1.39,6.84,0,7.68,15.07,0.83,0,0,0,0,1.19,0,5.83,66.57,0.95,0,0,0,0
 36-46,0,0,0,0.77,0,3.94,0,0,0,0,0,0.57,1.82,0,0,5.63,0,10.16,40.19,0.57,0.75,0,0,0,0,0,0.64,0.69,6.54,0,1.6,0,0
 48-58,0,0,0,0.44,0,4.2,0,1.45,0,3.73,0,0,0,0,0,6.76,0,11.33,66.12,0,0,0,0,0,0,0,0.5,0,1.9,0.61,0,0,0
 60-70,0,0,0,8.53,0,3.15,5.76,2.08,0,11.64,0.72,0,0,0,0,16.44,0,14.85,58.46,0,3.21,0,1.79,0,0,0,0,0,5.91,1.77,0,0,0
 72-82,0,0,0,1.78,0,14.94,6.72,5.54,0.84,52.19,0,0,4.14,1.29,4.15,60.75,4.1,21.88,65.15,0,4.82,1.13,0,0,0,0,2.85,0,18.59,0.5,0.75,0.94,0
 84-94,0,0,0,10.69,0,5.69,3.91,0,0,53.11,0,0,5.63,0,1.91,76.74,0,16.79,56.94,0,1.18,0,0,3.08,0,0,0,0,4.03,0.66,0,0.71,0
 96-106,0,0,0,4.06,0,3.28,4.41,0.58,0,106.87,0,0,4.79,12.37,1.03,56.89,1.25,11.41,74.21,0,1.13,0,1.05,5.87,0,0,0,0,0,13.27,4.04,0,1.22
108-118,0,0,0,9.39,0,0.46,4.52,6.04,0.73,92.46,0,0,4.76,1.94,0,60.65,9.41,10.74,53.78,0,1.81,0,0,0,0,0,0.5,0,0,18.26,0.43,0.6,0
120,0,0,0,1.63,0,7.82,3.87,2.16,0,131.64,0,0,7.31,0,0,57.84,0,14.32,22.96,0,0,0,0,0,0,0,0,0,0,5.79,2.78,3.36,0
