stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,119.29,2109.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.68,0,0,0,0,0,0,0,0,0
  5-6,100.77,1694.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.46,10.72,0,9.09,48.93,0,0,0,0,0,0,0,0,0
  7-9,54.51,30.4,47.46,0,0,142.68,0,0,0,0,39.14,0,0,0,0,0,0,0,0,1012.14,22.69,0,361.36,3.26,9.95,0,0,0,0,0,0,0,0
 10-12,0,18.8,36.15,0,11.87,70.4,0,0,0,0,14.48,0,0,0,0,0,0,0,0,788.51,27.15,0,243.13,0,0,0,30.46,0,0,0,0,0,0
 14-21,0,0,0.9,8.91,2.83,0.83,0,0,4.23,0,0,0,0,0,0,0,7.07,0,4.94,54.21,2.93,0,3.93,1.29,0,2.82,0,4.81,8.55,0,2.05,0,0
 24-34,0,0,0,2.07,0.62,12.13,0,0,1.77,0,0.74,0,0,0,0,0,10.49,0,7.05,104,0,0.69,0,7.23,0,0,1,4.27,21.96,0,1.31,0,0
 36-46,0,0,0,0.65,1.07,6.73,0,1.77,2.23,0,0,0,0,0,0,0,9.29,0,1.79,51.97,0,0,0,2.95,0,0,0.7,0,16.39,0,0,0,0
 48-58,0,0,0,2.07,5.13,29.24,0,0.76,7.39,0,0,0.53,0.5,0,0,0.5,14.02,4.77,4.47,32.8,0,0,0,7.69,0,0,0,0,8.42,0,1.42,0,0
 60-70,0,0,0,7.09,0,15.4,0,1.47,3.83,0,0,0,4.02,0,0,0,18.2,0,0,28.39,0,0,0,2.98,0,0,0,0,3.5,0,0,0,0
 72-82,0,0,0,0.68,2.02,15.7,0,4.73,17.04,1.01,0,0,0,0,0.72,0.49,24.36,1,1.54,27.25,0,1.04,0,0,0,0,0,0,0.9,0.75,0,0.57,0
 84-94,0,0,0,1.86,0,5.44,0,0,2.12,0,0,0,0,0,0,1.98,6.26,0.97,1.97,12.5,1.17,0,0,2.05,0,0,0,0,0,0,2.42,0,0
 96-106,0,0,0,1.23,1.14,5.2,0,0.81,4.95,0,0,0,0,0.75,0,0,15.05,0,0,5.27,0.71,0.64,0,9.29,0,0,0,0,1.9,2.03,0.7,2.17,0
108-118,0,0,0,3.99,0,11.67,0.44,1.36,11.86,0.47,0,0,0.59,0,0.77,1.29,16.36,0.94,0.43,20.49,0,0.53,0,5.68,0,0,0,0,0,0,0,1.09,1.15
120,0,0,0,0,0,11.7,0,0,35.61,1.04,0,0,0,0,7.62,0,30.98,0,5.32,6.94,0,1.66,0,1.09,0,0,0,0,5.09,0,0,0,0
