stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.03,0,0,0,21.47,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.19,0,0,0,0,0,0,0,0,0,37.25,0,0,0,15.49,0,0,0,0,0,0,3.28,0,0,0,0,0
 14-21,0,0,1.08,187.92,7.91,2.57,0,2.66,0,16.78,2.46,0,0,1.15,0,0,0,0,6.91,0,1.1,41.55,94.88,0,0,220.95,0,2.38,212.83,0,0,278.29,564.42,0,0,0,0,0
 24-34,0,0,0,312.84,7.72,12.46,0,60.22,177.54,83.28,4.59,0,0,0.63,0,0,0,0.92,62.12,1.12,236.99,103.58,171.39,0,1.16,0,0,9.79,3.62,1.54,23.19,842.35,1151.27,0,0,8.22,0,0
 36-46,0,0,0,64.88,0,6.59,3.82,133.55,288.07,88.45,18.77,0,0,0,0,0,0,0.95,59.74,0,250.14,95.25,33.09,0,0,0,0,46.78,0.9,0,59.25,3.78,860.12,0,0,6.48,0,0.78
 48-58,0,0,0,36.38,0,30.63,3.08,104.8,267.36,44.6,6.81,0,0,0,0,0,4.45,0,134.22,0,116.28,164.59,16.46,0,0,0,0,26.37,0,0,14.88,0,1001.48,0,0,11.24,1,0
 60-70,0,0,0,34.64,0,30.79,2.06,77.11,258.63,71.2,8.03,0,0,0,0,0,0,8.49,174.47,0,97.53,219.31,0.71,0,2.45,0,0,37.91,0,0,8.46,0,1355.71,0,0,11.39,0,0
 72-82,0,5.3,0,15.9,0,29.66,10.65,66.46,250.6,117.68,8.63,0,1.18,0,2.96,0,0,0,126.65,0,65.36,304.26,5.17,0,0,0,0,31.05,0,0.97,0,0,1245.64,0,1.11,2.28,1.2,13.69
 84-94,0,5.64,0,31.01,0.69,62.35,0.56,56.29,217.28,105.79,29.81,0,1.85,1.08,10.78,4.49,0,1.05,147.3,1.42,70.8,189.67,0,0,5.04,0,1.75,28.6,0,0,4.4,0,1043.83,2,0,0.74,2.86,2.99
 96-106,0,15.02,1.07,21.69,2.5,40.2,0,48.52,177.62,63.58,33.79,0,0,0,0,0,9.94,1.33,91.36,0,38.67,172.97,5.04,0.93,0.93,0,0,17.8,0,0,2.1,0,311.44,0,0,1.45,1.12,0
108-118,0,10.7,0,16.76,4.36,32.55,0,59.88,144.32,73.22,42.8,0,0,0,0,1.71,0,0,134.86,0.77,46.45,210.59,1.92,0,0.76,0,0,17.57,0,0,2.07,0,289.85,0,0,3.54,0,3.85
120,0,0,0,22.23,0,10.17,1.33,51.83,144.91,154.14,14.53,0,3.21,0,1.74,0,9.27,0,207.07,0,22.7,143.76,1.96,0,28.28,0,0,19.09,0,0,4.91,0,140.54,0,0,6.08,0,0
