stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,21.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,107.69,5.36,0,52.43,0,0,0,0,0,0,0,0,0,123.97,0,0,0,0,0,0,0,0,0,0,146.54,350.59,0,0,8.53,0,0,0,0,0,0,0,0,0,0,0
 10-12,11.39,13.19,0,1445.52,0,0,0,15.68,0,0,0,0,0,101.02,0,0,0,0,0,0,0,0,0,0,944.56,1080.12,0,0,54.25,0,0,5.85,12.42,0,0,0,0,0,0,0
 14-21,0,0,0,142.03,237.98,9.8,0,0,0,0.82,0,1.9,118.14,0,0,0,7.4,0,0,2.33,24.3,0,0,3.39,149.61,276.69,0,1.55,5.47,0,0,0,3.15,2.01,810.34,0,0,1.35,0,0
 24-34,0,0,1.1,114.83,93.87,2.79,0,2.63,0,0,0,0,37.46,0,0,0,26.98,0,0,27.04,12.49,27.59,0,2.26,765.7,210.09,1.57,0,0,0,11.57,0,1.54,1.31,740.54,0,0,0,0,0
 36-46,8.46,0,0,6.08,59.61,0,0,6.46,0,1.06,0,8.74,16.83,0,1.64,0,7.36,0,0,20.64,4.15,24.1,8.23,0.64,739.88,202.73,1.92,0,0,0,5.68,0,1.75,0,453.16,0,0,0,0,1.9
 48-58,3.45,0,0.44,5.93,71.84,0,0,9.08,2.05,4.83,0,34.89,29.38,1.26,0,0,11.41,0,0.41,9.34,18.93,41.85,0,1.35,605.97,120.29,0,0,0,0,4.6,0,1.06,0,293.19,0,0,7.22,0,0
 60-70,0,0,10.54,0,39.79,0,0,18.02,0,6.21,0,30.93,55.2,0,0,0.78,0.64,0,1.2,8.67,17.56,22.79,1.48,0.6,485.5,84.94,0,0,0,0.94,1.58,0,0,0,167.55,1.62,4.5,0,0,0
 72-82,0,0,12.41,0.56,33.88,0,1.44,21.66,0,1.49,0,33.32,83.01,0,0,1.27,3.21,0.93,0,8.8,14.63,43.29,2.16,1.94,304.96,30.11,5.55,0,0,0,0.58,0,4.52,0,109.01,36.8,9.84,1.04,0,3.62
 84-94,0,0,22.92,1.83,38.64,0,7.05,19.58,0,2.76,0,28.3,152.09,1.22,0.7,0,3.53,0,0,14.38,6.21,47.9,1.17,0,260.87,57.41,0,0,0,0,2.71,0,4.73,0,140.47,50.45,6.44,0,0,0
 96-106,0,0,6.9,0.72,28.57,0,3.6,22.58,0.57,3.37,0,40.14,154.91,0,0,0,1.26,0,0,46.82,11.95,46.33,0,1.63,227.81,36.91,0,0,0,0,9.07,2.06,1.63,0,130.15,39.11,11.86,1.93,0,0.8
108-118,0,0,4.87,4.62,30.47,0,43.17,34.93,0,2.42,1.02,40.69,123.3,0,0,1.24,5.3,0,0,63.49,24.84,28.84,0,0,196.38,80.63,0,1.06,0,0,5.64,0,2.3,0,83.04,39.97,9.05,2.3,0,0.68
120,1.12,0,1.37,7.58,27.42,0,9.65,14.02,0,2.82,0,57.09,125.92,0,0,0,0,0,0,45.86,3.11,31.9,13.19,0,456.84,147.24,1.45,0,0,0,9.21,0,3.74,0,187.79,10.9,0,0,5.66,0
