stage,axial,blastomeres,eye,glial,neural,spinal_cord
  3-4,42.29,104,0,0,0,0
  5-6,26.14,34.62,0,0,0,0
 24-34,0,0,0,0,0.74,0
 36-46,0,0,0,0.65,0.73,1.5
 48-58,0,0,0,0,0,0.72
 60-70,0,0,0,0,0,1.04
 72-82,0,0,0.56,1.18,0,0
 84-94,0,0,0,0,0,1.44
