stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.12,0,0,0,14.6,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,9.62,0,0,0,0,0,0,0,16.09,0,0,0,0,0,0,0,0,0,0,46.86,0,0,0,21.65,0,0,0,30.31,0,0,0,0,0,0,0
 14-21,0,0,0,0,50.31,0,0,0,0,0,0,0,0,1.07,7.01,0,0,0,0,0.86,0,0,0,2.29,21.95,0,0,0,0,0,2.17,0,0.84,0,0,0,15.08,0,0
 24-34,0,0,0.74,2.83,8.48,0,0,0,0,0,0,0,0,0.69,9.74,0,0,0,0,4.76,0,0,0,12.92,3.58,1.41,1.49,0,0,0,0,0,1.27,0,0,0,73.94,0,0
 36-46,0,0,0,1.28,0,0,0,0,0,0,2.44,0,1.08,0,20.11,0,0.57,0,0,3.3,0.68,0,0.64,3.34,3.06,1.3,0,0,0,2.15,0,0,0,1.93,0,0,26.78,0,0
 48-58,0,0,0,0,0,0,6.82,0,3.61,0,0.85,0,0.98,1.32,13.47,0.41,0,0,0,6.9,0,0.56,1.7,7.66,1.18,0,0,0,0,0,0,0,0,0.59,0,0,35.39,0,0.72
 60-70,0,0,0,0.68,0,0,0,0,0,0,0.58,1.82,0.97,1.53,17.18,3.63,0,0,0,20.15,0,1.82,0,7.8,1.88,0.89,0,0,0,2.46,0,0,0,1.3,0,0,62.8,0,0
 72-82,0,0.69,0,3,2.71,0,7.77,0,0,0,2.48,3.59,0,4.83,28.34,0,1.2,0,0,60.61,0,2.98,4.75,16.17,0,2.24,2.14,0,0,0,0,0,0,0,0,3.03,74.03,1.77,0
 84-94,0,1.18,0,8.48,4.54,0,3.38,6.71,4.44,1.14,4.03,2.1,0,1.16,35.84,3.12,0,0,0,46.61,1.51,4.34,2.13,13.61,1.43,0.69,0,0,1.91,18.41,0,0,0,0,0,0,83.81,1.1,1.17
 96-106,0,0,0,13.36,6.38,1.07,0,0,1.66,0,5.88,2.78,0,0,59.75,5.25,2.52,2.8,0,67.82,0,5.23,3.34,16.05,0,1.08,0,0,10.27,13.04,0,0,0,0,0.59,6.32,108.02,5.15,0
108-118,0,0,0,12.08,2.26,18.3,9.03,0,4.15,0,1.24,5.81,0,2.77,65.83,6.91,3.4,1.02,0.47,75.93,0.43,9.43,2.85,24.28,5.62,0.96,2.98,0,0.87,7.81,0,0.56,0,0,0,1.46,98,1.34,3.62
120,0,0,0,16.04,6.21,1.8,0,0,2.25,1.58,0,4.03,0,8.69,88.73,0,2.7,2.51,0,68.1,3.22,13.44,5.06,4.59,5.56,8.36,0,0,10.9,8.06,0,0,0,0,0,0,149.94,7.47,0
