stage,eye,glial,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,neural,otic,pronephros,xanthophores
 14-21,1.24,0,0,0,0.87,0,0,0,0,1.52,0,5.03,0
 24-34,0.61,0,0,7.01,0,0,6.25,0.77,0.66,3.73,0,11.93,15.44
 36-46,0,0,1.28,2.77,0,0,2.62,0,0,1.22,0,15.57,5.67
 48-58,0.7,0.74,0,0,0,0.4,7.36,0,0,1.91,0,3.27,6.62
 60-70,0,0,0,0,0,0,0,0.59,0,2.5,0,0,6.12
 72-82,2.86,0,0.52,0,2.62,0.5,0,0,0,22.04,0,0.73,5.24
 84-94,1.59,0,1.39,2.23,0,3,0,0,0,5.82,1.26,0,0
 96-106,2.1,0.94,4.05,0.86,0,1.33,0,0,0,5.23,0,1.1,0
108-118,3.14,0,0,1.87,0,0,0,0,0,5.27,0,0.75,6.43
120,0,0,10.86,2.56,0,0,0,0,0,10.74,0,0,0
