stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  5-6,9.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58,0,0,10.1,0,0,0,0,0,0
 14-21,0,0,1.1,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0.94,5.73,0,1.09,0,0,0.82,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44,0,0,1,12.4,0,0,0,0,0,0,0,4.61,0
 36-46,0,0,0,0,0,0.61,0,0,0,0,0,0,0,1.07,2.45,0,0,0,2.99,0,0,0,0,0,0,0,0.86,0
 48-58,0,0,0,0,0,4.91,0,0.83,3.17,0,0,0,0,0,2.79,0,0,2.63,2.05,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,11.42,0.59,0,0,0,0,0,0,11,4.4,0,0.79,0,18.03,0,0,0,0,0,2.29,0,0,0
 72-82,0,0,0,0,0,1.87,0,0,0,5.41,0,0,0,0,11.44,0,0,1.73,2.11,0.53,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,4.07,1.31,0,1.91,0,6.9,0,0,7.03,0,0,0,0,1.99,0,0,0,0,0.77
 96-106,0,0,0,0,2.06,2.35,0,2.49,0,94.92,0.61,0,0,0.97,11.37,0,0,0.79,37.76,0,0,0,0,0,0,0,0,2.62
108-118,0,0,0,1.71,1.45,0.74,0,0.59,1.85,249.83,0,0,0,3.21,8.06,0,0,2.98,50.09,1.47,0,0,0.52,0,3.24,1.13,0.71,0
120,0,3.73,0,0,0,0,0,0,0,272.4,0,2.67,0,7.08,3.28,1.16,0,1.9,43.71,0,0,0,1.74,0,0,0,1.67,0
