stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,vasculature,xanthophores
  5-6,15.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,3.69,0,0,0,1.79,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.92,0,8.1,0,0,0,2.32,0,2.53,0,0
 36-46,0,0,0,3.34,0,0,0,0,0,0.61,1.59,0,32.21,0,0.75,0,1.88,0,5.2,0,0
 48-58,0,0,0,11.54,1.4,0.85,0,0,0,0,1.24,0,37.86,0,1.66,0,1.05,0,7.23,1.04,0
 60-70,0,3.95,0,23.78,0,1.91,0,1.03,0,0,4.29,0,76.31,0,0,0,0,0,1.33,0,0
 72-82,0,0,0.63,30.91,0,5.1,0,0,1.24,0,5.94,0,43.67,0,0,0,4.68,0,3.63,0,0
 84-94,0,0,0,16,0,2.66,0,0,0.96,0,5.18,2.03,42.2,0,0,1.22,4.99,0,5.82,0,0
 96-106,0,0.77,0,10.16,0,5.87,0,0,0,0,1.78,0,8.96,0,0,0.96,6.64,0,0,0,1.29
108-118,0,3.53,0,18.65,0,1.99,1.81,0,0,0,0,0,17.39,0.71,0,0.65,3.93,0,0,0,2.67
120,0,0,0,26.33,0,5.91,0,0,0,0,15.98,0,54.04,0,0,0,0,2.12,0,0,2.08
