stage,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,mesenchyme,neural,notochord,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,xanthophores
  7-9,0,0,0,0,0,0,6.38,0,0,3.89,0,0,0,0,0,0
 10-12,5.49,0,0,0,0,0,0,0,0,15.2,0,0,0,0,0,0
 14-21,0,0.94,2.02,0,1.81,0,0,0,0,5.9,1.06,0,0.93,0,0,0
 24-34,0,1.01,0,0,0,0,0,0,1.48,4.53,0,0,0,0,0.85,0
 36-46,0,0,0,0,0,0,0,0,0,8.64,0,0,0,0,1.81,0
 48-58,0,0,1.11,0,1.07,0,0,0,2.84,7.54,0,0,0,0,2.09,0
 60-70,0,0.67,7.57,0.72,0.58,0,0,0,1.73,7.46,0,0,0,0,3.98,0
 72-82,0,0,5.55,0,2.41,0,0,0,1.05,15.16,0,1.01,0,0,0,0
 84-94,0,0,0.8,0,4.86,1.46,0,0,5.33,10.34,0,0,0,0,0,2.99
 96-106,0,4.78,6.3,0,5.23,0,0,0.81,0,6.38,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.66,14.56,0,0,0,0.44,0,0
120,0,0,0,0,0,0,0,0,0,40.58,0,0,0,0,0,0
