stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching_gland,ionocyte,mesenchyme,mucous,neural,notochord,paraxial_mesoderm,periderm,somites,spinal_cord,taste,xanthophores
  3-4,0,35.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,34.63,0,0,0,0,0,0,0,0,0,12.27,0,0,9.26,0,0,0,0
  7-9,4.89,0,0,0,18.2,0,0,0,0,0,0,34.26,0,3.37,3.28,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,49.85,13.1,0,0,0,0,0,0
 14-21,0,0,0.81,1.01,0,0,0,0,0,0,0,0,0,0,0,1.81,0,0,0
 24-34,0,0,0,0,0,0,0,2.21,0.62,1.09,0,8.92,0,0,1.65,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,7.39,0,0,5.76,0,0.78,0,0
 48-58,0,0,0,0,1.63,1.39,0,0,0,0,0.41,2.18,0,0,0.66,0,0,0,0
 60-70,0,0,0,0,3.46,5.86,0,0,0,1.05,1.02,2.31,0,0,2.55,0,0,0,0
 72-82,0,0,0,0,4.6,0,0,0,0,4.41,0,3.17,0,0,1.2,0,0,0,5.35
 84-94,0,0,0,0,0.84,4.39,0,0,0,6.29,0,2.49,0,0,5.53,0,0,0,0
 96-106,0,0,0,0.67,0.71,3.93,0,0,0,4.1,5.86,5.72,0,0,5.83,0,0,0,0
108-118,0,0,0,1.64,0,0,0.82,0,0,0.81,4.67,4.52,0,0,2.83,0,0,0,0
120,0,0,0,0,3.71,0,0,0,0,0,3.01,2.61,0,0,1.8,0,0,1.06,0
